identifier,title,description,issued,landingPage
https://data.baltimorecity.gov/api/views/6h89-p65s,Landmark Designated,ESRI Shp file of designated landmarks.,2012-10-22,https://data.baltimorecity.gov/d/6h89-p65s,https://data.baltimorecity.gov/api/views/6h89-p65s
https://data.baltimorecity.gov/api/views/5hwu-2nkt,BPD Posts,BPD Posts,2014-04-10,https://data.baltimorecity.gov/d/5hwu-2nkt,https://data.baltimorecity.gov/api/views/5hwu-2nkt
https://data.baltimorecity.gov/api/views/nuyq-8gqp,Arts and Culture (2010-2012) - KMZ,"Most indicators throughout Vital Signs are created by acquiring and analyzing data collected from governmental agencies for some public administration purpose, such as 311 calls or housing inspections. However, data from the United States Bureau of the Census remains the best source for demographic and socioeconomic indicators for neighborhoods. The Census Bureau collects a wide variety of information through administration of both the decennial Census and the annual American Community Survey (ACS).",2014-05-20,https://data.baltimorecity.gov/d/nuyq-8gqp,https://data.baltimorecity.gov/api/views/nuyq-8gqp
https://data.baltimorecity.gov/api/views/7qbt-2pwy,Street Centerline,Street Centerline,2018-11-29,https://data.baltimorecity.gov/d/7qbt-2pwy,https://data.baltimorecity.gov/api/views/7qbt-2pwy
https://data.baltimorecity.gov/api/views/9sax-si6k,Workforce and Economic Development (2010-2012) - KMZ,"Most indicators throughout Vital Signs are created by acquiring and analyzing data collected from governmental agencies for some public administration purpose, such as 311 calls or housing inspections. However, data from the United States Bureau of the Census remains the best source for demographic and socioeconomic indicators for neighborhoods. The Census Bureau collects a wide variety of information through administration of both the decennial Census and the annual American Community Survey (ACS).",2014-05-20,https://data.baltimorecity.gov/d/9sax-si6k,https://data.baltimorecity.gov/api/views/9sax-si6k
https://data.baltimorecity.gov/api/views/rsxz-vfkv,Museum,Museum,2018-12-08,https://data.baltimorecity.gov/d/rsxz-vfkv,https://data.baltimorecity.gov/api/views/rsxz-vfkv
https://data.baltimorecity.gov/api/views/6btb-a7mu,Children and Family Health & Well-Being (2010-2012) - Shape,"Most indicators throughout Vital Signs are created by acquiring and analyzing data collected from governmental agencies for some public administration purpose, such as 311 calls or housing inspections. However, data from the United States Bureau of the Census remains the best source for demographic and socioeconomic indicators for neighborhoods. The Census Bureau collects a wide variety of information through administration of both the decennial Census and the annual American Community Survey (ACS).",2016-04-15,https://data.baltimorecity.gov/d/6btb-a7mu,https://data.baltimorecity.gov/api/views/6btb-a7mu
https://data.baltimorecity.gov/api/views/y3f4-umna,CCTV Cameras,KML file displaying the Baltimore Police Department's CCTV Cameras.,2013-02-13,https://data.baltimorecity.gov/d/y3f4-umna,https://data.baltimorecity.gov/api/views/y3f4-umna
https://data.baltimorecity.gov/api/views/c2zq-3dmt,Ward Precinct,Ward Precinct,2018-12-08,https://data.baltimorecity.gov/d/c2zq-3dmt,https://data.baltimorecity.gov/api/views/c2zq-3dmt
https://data.baltimorecity.gov/api/views/use2-r5yh,Code Red Cooling Center,Code Red Cooling Center,2018-11-29,https://data.baltimorecity.gov/d/use2-r5yh,https://data.baltimorecity.gov/api/views/use2-r5yh
https://data.baltimorecity.gov/api/views/2ewr-vtax,Edge of Pavement,Line feature representing photogrammetrically captured pavement edges. Last Updated 2008,2012-10-22,https://data.baltimorecity.gov/d/2ewr-vtax,https://data.baltimorecity.gov/api/views/2ewr-vtax
https://data.baltimorecity.gov/api/views/6wtj-5znn,Census Tract,This shapefile is an extract of geographic and cartographic information from the 2010 TIGER/Lines detailing census tracts.,2018-12-01,https://data.baltimorecity.gov/d/6wtj-5znn,https://data.baltimorecity.gov/api/views/6wtj-5znn
https://data.baltimorecity.gov/api/views/jbuy-njx8,MIZOD,Maritime Industrial Zoning Overlay District boundaries.,2012-10-22,https://data.baltimorecity.gov/d/jbuy-njx8,https://data.baltimorecity.gov/api/views/jbuy-njx8
https://data.baltimorecity.gov/api/views/etsv-s5qj,Workforce & Economic Development 2010 - Shape,"BNIA-JFI tracks fourteen workforce and economic development indicators that measure the importance of and role of the City as both a major source of labor and as a center of economic activity. These indicators are grouped into the following categories: labor force participation and employment; educational attainment; commercial investment activity; and businesses and successful small businesses. Information for the City of Baltimore is now available on an annual basis from the American Community Survey (ACS), but community-level information is aggregated over 5-years of data collection. In Vital Signs 10, indicators were calculated using the 5-year average from the 2006-2010 ACS. Business data is purchased from InfoUSA and is available at the address level, which can be aggregated to the CSA level for Vital Signs. It is still important to note that the firm level data from InfoUSA is best to be analyzed at the City level since due to methodology issues, individual level firm data can be problematic to analyze.",2013-02-26,https://data.baltimorecity.gov/d/etsv-s5qj,https://data.baltimorecity.gov/api/views/etsv-s5qj
https://data.baltimorecity.gov/api/views/smdi-xa2t,Railroad,"Line feature representing railroad features, including the centerline of Heavy, Light, Joint, Subway, and any abandoned rails and marshalling yards. Last Updated 2008",2012-10-22,https://data.baltimorecity.gov/d/smdi-xa2t,https://data.baltimorecity.gov/api/views/smdi-xa2t
https://data.baltimorecity.gov/api/views/gim5-45gr,Edgepave Street Poly,Edgepave Street Poly,2013-07-03,https://data.baltimorecity.gov/d/gim5-45gr,https://data.baltimorecity.gov/api/views/gim5-45gr
https://data.baltimorecity.gov/api/views/6643-2qhy,Zoning,Zoning,2018-12-08,https://data.baltimorecity.gov/d/6643-2qhy,https://data.baltimorecity.gov/api/views/6643-2qhy
https://data.baltimorecity.gov/api/views/f9j5-5q9d,Housing and Community Development Vital Signs 2000-2009 - Shape,BNIA-JFI uses Community Statistical Areas (CSAs) boundaries for tracking Vital Signs data so that progress can be measured over time. CSAs are based on Census tracts which remain consistent from year to year. BNIA-JFI relates CSAs to neighborhoods as defined by the Baltimore City Department of Planning.,2013-06-14,https://data.baltimorecity.gov/d/f9j5-5q9d,https://data.baltimorecity.gov/api/views/f9j5-5q9d
https://data.baltimorecity.gov/api/views/4z7d-rsfz,Sustainability (2010-2013) - Shape,"Most indicators throughout Vital Signs are created by acquiring and analyzing data collected from governmental agencies for some public administration purpose, such as 311 calls or housing inspections. However, data from the United States Bureau of the Census remains the best source for demographic and socioeconomic indicators for neighborhoods. The Census Bureau collects a wide variety of information through administration of both the decennial Census and the annual American Community Survey (ACS).",2015-05-14,https://data.baltimorecity.gov/d/4z7d-rsfz,https://data.baltimorecity.gov/api/views/4z7d-rsfz
https://data.baltimorecity.gov/api/views/quf7-tvzj,Housing and Community Development (2010-2013) - Shape,"Most indicators throughout Vital Signs are created by acquiring and analyzing data collected from governmental agencies for some public administration purpose, such as 311 calls or housing inspections. However, data from the United States Bureau of the Census remains the best source for demographic and socioeconomic indicators for neighborhoods. The Census Bureau collects a wide variety of information through administration of both the decennial Census and the annual American Community Survey (ACS).",2015-05-14,https://data.baltimorecity.gov/d/quf7-tvzj,https://data.baltimorecity.gov/api/views/quf7-tvzj
https://data.baltimorecity.gov/api/views/d5qv-m37h,Edge of Pavement,Edge of Pavement,2018-12-07,https://data.baltimorecity.gov/d/d5qv-m37h,https://data.baltimorecity.gov/api/views/d5qv-m37h
https://data.baltimorecity.gov/api/views/hbs9-bbye,Urban Environment & Transit 2010 -  Shape,"Baltimore City is home to many green spaces, parks, and waterways. Some of the more widely recognized locations include the Inner Harbor, Middle Branch, Druid Hill , Gwynns Falls and Herring Run Parks. City residents in particular value access to green spaces as a place to recreate, exercise and congregate, but the City??_??s green spaces serve a vital role in ensuring clean air and water for long term urban sustainability. Baltimore neighborhoods actively participate in increasing access to green spaces through tree planting and other watershed protection activities such as stream clean-ups. Urban living also enables residents the option to choose alternative means of transportation to reduce vehicle miles traveled by car. The City is already served by numerous modes of mass transit including MARC, metro, light rail, the Charm City Circulator, and bus lines. BNIA-JFI tracks eight indicators to measure the City??_??s urban environment and transit. These indicators are categorized into the following categories: air quality and hazardous waste; tree canopy, alternative transportation mode use; and travel time to work.",2013-02-26,https://data.baltimorecity.gov/d/hbs9-bbye,https://data.baltimorecity.gov/api/views/hbs9-bbye
https://data.baltimorecity.gov/api/views/7v76-hknd,Children and Family Health and Well-Being (2015),"Indicators presented here represent the year 2015 values for Children and Family Health and Well-Being from Vital Signs published by the Baltimore Neighborhood Indicators Alliance. For more information, please visit http://www.bniajfi.org/vital_signs.",2017-07-12,https://data.baltimorecity.gov/d/7v76-hknd,https://data.baltimorecity.gov/api/views/7v76-hknd
https://data.baltimorecity.gov/api/views/5a48-qbs9,Sustainability (2010-2012) - Shape,"Most indicators throughout Vital Signs are created by acquiring and analyzing data collected from governmental agencies for some public administration purpose, such as 311 calls or housing inspections. However, data from the United States Bureau of the Census remains the best source for demographic and socioeconomic indicators for neighborhoods. The Census Bureau collects a wide variety of information through administration of both the decennial Census and the annual American Community Survey (ACS).",2014-05-20,https://data.baltimorecity.gov/d/5a48-qbs9,https://data.baltimorecity.gov/api/views/5a48-qbs9
https://data.baltimorecity.gov/api/views/bwe2-46ev,Community Statistical Area,Community Statistical Area,2018-12-01,https://data.baltimorecity.gov/d/bwe2-46ev,https://data.baltimorecity.gov/api/views/bwe2-46ev
