identifier,code,title,alternativeTitle,description,genre,subject,format,type,geometryType,dateIssued,temporalCoverage,Date,spatialCoverage,spatial,provenance,publisher,creator,landingPage,downloadURL,webService,metadataURL,serverType,keywords
352ed2b1c7464dcaa6987c256ef0afc8_0,06a-02,Wildfire & Prescribed Burn Locations (2018),,Wildfire and prescribed burn locations that occurred in 2018.? These points reference burned areas larger than 10 acres and are located on state land.,Geospatial data,,Shapefile,Dataset|Service,Vector,2018-04-26T19:20:28.000Z,,,Michigan,"-86.6659,42.5015,-82.5154,46.8059",Michigan State,Michigan DNR,Michigan Department of Natural Resources,http://gis-midnr.opendata.arcgis.com/datasets/352ed2b1c7464dcaa6987c256ef0afc8_0,"http://gis-midnr.opendata.arcgis.com/datasets/352ed2b1c7464dcaa6987c256ef0afc8_0.zip?outSR={""latestWkid"":3785,""wkid"":102113}",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/pub_MiMorelsApp/FeatureServer/0,,FeatureServer,wildfire|prescribed|burn|morel|mushroom|fire
36d7575d00724fe1b4dfde60222a814d_26,06a-02,Spruce Budworm 2005,,Spruce Budworm 2005 includes the areas derived from the Aerial Survey analysis completed by the US Forest Service and the Michigan Department of Natural Resources.,Geospatial data,,Shapefile,Dataset|Service,Vector,2015-12-10T16:30:01.000Z,,,Michigan,"-170.1605,70.4633,172.0473,75.3187",Michigan State,Michigan DNR,Michigan Department of Natural Resources,http://gis-midnr.opendata.arcgis.com/datasets/36d7575d00724fe1b4dfde60222a814d_26,"http://gis-midnr.opendata.arcgis.com/datasets/36d7575d00724fe1b4dfde60222a814d_26.zip?outSR={""latestWkid"":3078,""wkid"":102123}",https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrForestHealthAndPlanning/MapServer/26,,MapServer,dnr|Forestry|Forest|Health
4b09ac89d47e43f6ae2109f2b8d5b8ae,06a-02,Michigan State Forest Economics (2015),,Information regarding the Michigan Forest Products Industry by County (2015).,Flagged,,ArcGIS Hub Dataset|Esri Rest API,,,2018-03-21T21:39:51.000Z,,,Michigan,"-93.348,40.168,-80.341,49.259",Michigan State,Michigan DNR,Michigan Department of Natural Resources,http://gis-midnr.opendata.arcgis.com/datasets/4b09ac89d47e43f6ae2109f2b8d5b8ae,,https://app.powerbigov.us/view?r=eyJrIjoiOWI1ZjE3NWEtMjY4NC00N2U2LWJkNGYtNjU2Y2NlMjg0ZjdhIiwidCI6ImQ1ZmI3MDg3LTM3NzctNDJhZC05NjZhLTg5MmVmNDcyMjVkMSJ9,,,Forestry|forest|economy|economics|2015
0ae21599c2f3410185a2e970c8280ce9_33,06a-02,Aerial Survey 2011 Severity,,Aerial Survey 2011 Severity,Geospatial data,,Shapefile,Dataset|Service,Vector,2016-01-07T18:07:31.000Z,,,Michigan,"-173.1781,70.4565,176.7241,75.3134",Michigan State,Michigan DNR,Michigan Department of Natural Resources,http://gis-midnr.opendata.arcgis.com/datasets/0ae21599c2f3410185a2e970c8280ce9_33,"http://gis-midnr.opendata.arcgis.com/datasets/0ae21599c2f3410185a2e970c8280ce9_33.zip?outSR={""latestWkid"":3078,""wkid"":102123}",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/ArcGIS/rest/services/ForestHealthAerialSurveys/FeatureServer/33,,FeatureServer,dnr|Aerial Survey|Forestry
85ccffdf80e34fbc875ba9f0a267b6a4_10,06a-02,Hemlock Host Species 2013,,Hemlock Host Species 2013 includes the areas derived from the Aerial Survey analysis completed by the US Forest Service and the Michigan Department of Natural Resources.,Geospatial data,,Shapefile,Dataset|Service,Vector,2015-12-10T16:14:13.000Z,,,Michigan,"-168.594,70.0771,171.7031,75.4615",Michigan State,Michigan DNR,Michigan Department of Natural Resources,http://gis-midnr.opendata.arcgis.com/datasets/85ccffdf80e34fbc875ba9f0a267b6a4_10,"http://gis-midnr.opendata.arcgis.com/datasets/85ccffdf80e34fbc875ba9f0a267b6a4_10.zip?outSR={""latestWkid"":3078,""wkid"":102123}",https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrForestHealthAndPlanning/MapServer/10,,MapServer,dnr|forest planning|Forestry|Forest|Health
3462c537555f4beb96c1923bd29218a0_20,06a-02,Aerial Survey 2006 Disease/Pest,,Aerial Survey 2006 Disease/Pest,Geospatial data,,Shapefile,Dataset|Service,Vector,2016-07-07T17:02:20.000Z,,,Michigan,"-173.7088,70.3726,171.8184,75.3497",Michigan State,Michigan DNR,Michigan Department of Natural Resources,http://gis-midnr.opendata.arcgis.com/datasets/3462c537555f4beb96c1923bd29218a0_20,"http://gis-midnr.opendata.arcgis.com/datasets/3462c537555f4beb96c1923bd29218a0_20.zip?outSR={""latestWkid"":3078,""wkid"":102123}",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/ArcGIS/rest/services/ForestHealthAerialSurveys/FeatureServer/20,,FeatureServer,dnr|Aerial Survey|Forestry
7fd7b8fcb8554ec091554da21272598b,06a-02,Michigan Shooting Ranges,,"The Department of Natural Resources? seven staffed shooting ranges in southern Michigan ? in Clinton, Ingham, Jackson, Lapeer, Livingston and Oakland counties ? offer a fun, safe shooting environment for you and your friends and family. Staffed by customer-friendly and highly trained employees, the DNR?s shooting ranges feature amenities like handgun, rifle, shotgun and archery ranges and restroom facilities. Learn more about the DNR?s shooting ranges, other ranges around the state and the shooting sports at?MI.gov/shootingranges",Flagged,,ArcGIS Hub Dataset|Esri Rest API,,,2017-11-07T16:32:50.000Z,,,Michigan,"-93.348,40.168,-80.341,49.259",Michigan State,Michigan DNR,Michigan Department of Natural Resources,http://gis-midnr.opendata.arcgis.com/datasets/7fd7b8fcb8554ec091554da21272598b,,https://www.midnr.com/Publications/pdfs/ArcGISOnline/interactiveMaps/shootingranges/,,,shooting|sports|range|archery|handgun|rifle|bow|crossbow|shotgun|sight in|hunting|recreation
1920b565237144d5bf55d3b2033a0e41_0,06a-02,Retail Bait Dealers,,"This layer contains the point information in the?Retail Bait Shop Locator. It includes the location, address, and contact information of every Retail Bait Dealer license that was legally authorized to sell live minnows, wigglers, and crayfish in the previous license year.Disclaimer: Not all businesses listed in the Retail Bait Shop Locator may be open to the public year round. They also may not have the desired minnows, wigglers or crayfish that a particular angler is looking for. It is recommended that persons looking for a bait shop using the Bait Shop Locator contact the location before making a trip, to make sure the shop is open and has bait available.",Geospatial data,,Shapefile,Dataset|Service,Vector,2016-06-01T15:26:57.000Z,,,Michigan,"-130.5126,34.7105,9.3996,31.0838",Michigan State,Michigan DNR,Michigan Department of Natural Resources,http://gis-midnr.opendata.arcgis.com/datasets/1920b565237144d5bf55d3b2033a0e41_0,"http://gis-midnr.opendata.arcgis.com/datasets/1920b565237144d5bf55d3b2033a0e41_0.zip?outSR={""latestWkid"":3078,""wkid"":102123}",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/dnrApp_retailbaitlocator_61016/FeatureServer/0,,FeatureServer,commercial|bait|retail|minnow|dealer|fish|dnr|michigan
c84dc34e49e94c2d942223bfa87268c7_22,06a-02,Spruce Budworm 2001,,Spruce Budworm 2001 includes the areas derived from the Aerial Survey analysis completed by the US Forest Service and the Michigan Department of Natural Resources.,Geospatial data,,Shapefile,Dataset|Service,Vector,2015-12-10T16:27:58.000Z,,,Michigan,"-169.9135,69.992,171.7079,75.3506",Michigan State,Michigan DNR,Michigan Department of Natural Resources,http://gis-midnr.opendata.arcgis.com/datasets/c84dc34e49e94c2d942223bfa87268c7_22,"http://gis-midnr.opendata.arcgis.com/datasets/c84dc34e49e94c2d942223bfa87268c7_22.zip?outSR={""latestWkid"":3078,""wkid"":102123}",https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrForestHealthAndPlanning/MapServer/22,,MapServer,dnr|Forestry|Forest|Health
644e8c1878fa4e16ad2c82c262ecfbe6,06a-02,External link to USGS: topoView,,More information at?https://ngmdb.usgs.gov/topoview/,Flagged,,ArcGIS Hub Dataset|Esri Rest API,,,2018-03-06T21:16:31.000Z,,,Michigan,"-93.348,40.168,-80.341,49.259",Michigan State,Michigan DNR,Michigan Department of Natural Resources,http://gis-midnr.opendata.arcgis.com/datasets/644e8c1878fa4e16ad2c82c262ecfbe6,,https://ngmdb.usgs.gov/topoview/viewer/#7/44.438/-85.045,,,external|topo|recreation
