Title,Alternative Title,Description,Language,Creator,Publisher,Genre,Subject,Keyword,Date Issued,Temporal Coverage,Date Range,Solr Year,Spatial Coverage,Bounding Box,Type,Geometry Type,Format,Information,Download,MapServer,FeatureServer,ImageServer,Identifier,Provenance,Code,Is Part Of,Status,Accrual Method,Date Accessioned,Rights,Access Rights,Suppressed,Child
,Substance Use Disorder Care,"This data set includes state licensing information maintained by the Michigan Department of Licensing and Regulatory Affairs (LARA). This data set is for licensed substance use disorder (SUD) programs. Data set includes the following attributes: license number, facility type code, facility name, street address, city, state, ZIP code, county, and specialty service categories. Specialty service categories include residential, residential detoxification, medication assisted treatment (MAT) - Methadone, outpatient, prevention, screening and assessment, and inpatient.",English,State of Michigan LARA,State of Michigan,Geospatial data,,michigan|lara|licensing|screeningassessment|outpatient|residential|detoxification|matmethadone|inpatient|licensingregulatoryaffairs|health|publichealth,2019-03-14T12:31:14.000Z,,,,Michigan,"-168.373,69.8071,174.9467,76.166",Dataset|Service,Vector,Shapefile,http://gis-michigan.opendata.arcgis.com/datasets/bdf9af41158f4ce489582e35e8f67971_7,http://gis-michigan.opendata.arcgis.com/datasets/bdf9af41158f4ce489582e35e8f67971_7.zip,https://utility.arcgis.com/usrsvcs/servers/bdf9af41158f4ce489582e35e8f67971/rest/services/CSS/CSS_LARA/MapServer/7,,,bdf9af41158f4ce489582e35e8f67971_7,Michigan State,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Substance Use Disorder Care,"This data set includes state licensing information maintained by the Michigan Department of Licensing and Regulatory Affairs (LARA). This data set is for licensed substance use disorder (SUD) programs. Data set includes the following attributes: license number, facility type code, facility name, street address, city, state, ZIP code, county, and specialty service categories. Specialty service categories include residential, residential detoxification, medication assisted treatment (MAT) - Methadone, outpatient, prevention, screening and assessment, and inpatient.",English,State of Michigan LARA,State of Michigan,Geospatial data,,michigan|lara|licensing|screeningassessment|outpatient|residential|detoxification|matmethadone|inpatient|licensingregulatoryaffairs|health|publichealth,2019-03-14T12:31:14.000Z,,,,Michigan,"-168.373,69.8071,174.9467,76.166",Dataset|Service,Vector,Shapefile,http://gis-michigan.opendata.arcgis.com/datasets/bdf9af41158f4ce489582e35e8f67971_7,http://gis-michigan.opendata.arcgis.com/datasets/bdf9af41158f4ce489582e35e8f67971_7.zip,https://utility.arcgis.com/usrsvcs/servers/bdf9af41158f4ce489582e35e8f67971/rest/services/CSS/CSS_LARA/MapServer/7,,,bdf9af41158f4ce489582e35e8f67971_7,Michigan State,06a-01,06a-01,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,EMS Stations,"Point Locations of the EMA Stations within Centre County. Information includes company name, company number, municipality, address, and capability.",English,Centre County Government,"Centre County, Pennsylvania",Geospatial data,,Locations|CentreCounty|GIS|EmergencyServices|911,2016-12-01T13:27:11.000Z,,,,"Centre County, Pennsylvania|Pennsylvania","-78.2318,40.7816,-77.4456,41.0303",Dataset|Service,Vector,Shapefile,http://gisdata-centrecountygov.opendata.arcgis.com/datasets/5649a6a4de2749cfa7e44abd5f29630b_58,http://gisdata-centrecountygov.opendata.arcgis.com/datasets/5649a6a4de2749cfa7e44abd5f29630b_58.zip,https://gissites4.centrecountypa.gov/arcgis/rest/services/OpenData/MapServer/58,,,5649a6a4de2749cfa7e44abd5f29630b_58,Penn State,08b-42027,08b-42027,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,PLSS Section,"This feature layer contains Public Land Survey System (PLSS) sections within Linn County, Iowa.This data was originally sourced from the Bureau of Land Management, and has since been altered when recorded section corner boundaries are available.Feature Layer DetailsUpdate Frequency: As neededFeature Class Coordinate System: Web Mercator Auxiliary Sphere (wkid: 3857)Max Visibility Scale: NoneMin Visibility Scale:1:320,000Max Features Returned: 2,000Additional ResourcesVisitLinn County, Iowaon the web.VisitLinn County, Iowa GISon the web.Visit theLinn County, Iowa GIS portal. This site is updated as needed to reflect maps, apps, and data of interest from various County departments.Contact InformationQuestions? Contact the GIS Division by phone at 319.892.5250 or byemail.",English,Linn County Iowa GIS,"Linn County, Iowa",Geospatial data,,LinnCounty|Iowa|PLSS|Section,2017-10-24T21:30:30.000Z,,,,"Linn County, Iowa|Iowa","-91.8353,41.8596,-91.3633,42.2991",Dataset|Service,Vector,Shapefile,http://opendata-linncounty-gis.opendata.arcgis.com/datasets/9a3035e853da49d6a32859a11dea7eec_0,http://opendata-linncounty-gis.opendata.arcgis.com/datasets/9a3035e853da49d6a32859a11dea7eec_0.zip,,https://lcgis.linncounty.org/ags/rest/services/Hosted/PLSSSection/FeatureServer/0,,9a3035e853da49d6a32859a11dea7eec_0,Iowa,03b-19113,03b-19113,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Contour,"This feature layer contains all Linn County, Iowa 2 foot contours.These contour lines were generated from a 2016 LiDAR project where LiDAR collection covering the City of Cedar Rapids was collected at approximately 3 foot spacing, and the rest of the County was collected at approximately 6 foot spacing.The Elevationfield within this feature layer represents the elevation above sea level in feet.The Index Contourfield within this feature layer represents whether the feature is a 10 foot index contour line. Features within this layer have been filtered where this field equals 'Yes'.Feature Layer DetailsUpdate Frequency: NeverFeature Class Coordinate System: Web Mercator Auxiliary Sphere (wkid: 3857)Max Visibility Scale: NoneMin Visibility Scale:1:320,000Max Features Returned: 2,000Additional ResourcesVisitLinn County, Iowaon the web.VisitLinn County, Iowa GISon the web.Visit theLinn County, Iowa GIS portal. This site is updated as needed to reflect maps, apps, and data of interest from various County departments.Contact InformationQuestions? Contact the GIS Division by phone at 319.892.5250 or byemail.",English,Linn County Iowa GIS,"Linn County, Iowa",Geospatial data,,LinnCounty|Iowa|Contour|Elevation|Topography,2017-10-27T20:58:58.000Z,,,,"Linn County, Iowa|Iowa","-91.8353,41.8596,-91.3633,42.2991",Dataset|Service,Vector,Shapefile,http://opendata-linncounty-gis.opendata.arcgis.com/datasets/6552a283c4134009bb608af6b597938c_0,http://opendata-linncounty-gis.opendata.arcgis.com/datasets/6552a283c4134009bb608af6b597938c_0.zip,,https://lcgis.linncounty.org/ags/rest/services/Hosted/Contour/FeatureServer/0,,6552a283c4134009bb608af6b597938c_0,Iowa,03b-19113,03b-19113,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,"National Grid 1,000m","This feature layer contains US National Grid tiles at the 1,000 meter interval that intersect Linn County, Iowa.For more information about the US National Grid,visit their information center site.Feature Layer DetailsUpdate Frequency: NeverFeature Class Coordinate System: Web Mercator Auxiliary Sphere (wkid: 3857)Max Visibility Scale: NoneMin Visibility Scale:1:760,000Max Features Returned: 2,000Additional ResourcesVisitLinn County, Iowaon the web.VisitLinn County, Iowa GISon the web.Visit theLinn County, Iowa GIS portal. This site is updated as needed to reflect maps, apps, and data of interest from various County departments.Contact InformationQuestions? Contact the GIS Division by phone at 319.892.5250 or byemail.",English,Linn County Iowa GIS,"Linn County, Iowa",Geospatial data,,LinnCounty|Iowa|USNG|NationalGrid|EMA|EmergencyResponse|E911,2017-10-24T21:55:49.000Z,,,,"Linn County, Iowa|Iowa","-91.9164,41.8095,-91.3002,42.3571",Dataset|Service,Vector,Shapefile,http://opendata-linncounty-gis.opendata.arcgis.com/datasets/6848bf96b88141f380a2548bb1970106_0,http://opendata-linncounty-gis.opendata.arcgis.com/datasets/6848bf96b88141f380a2548bb1970106_0.zip,,https://lcgis.linncounty.org/ags/rest/services/Hosted/USNG1000/FeatureServer/0,,6848bf96b88141f380a2548bb1970106_0,Iowa,03b-19113,03b-19113,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,National Grid 100m,"This feature layer contains US National Grid tiles at the 100 meter interval that intersect Linn County, Iowa.For more information about the US National Grid,visit their information center site.Feature Layer DetailsUpdate Frequency: NeverFeature Class Coordinate System: Web Mercator Auxiliary Sphere (wkid: 3857)Max Visibility Scale: NoneMin Visibility Scale:1:760,000Max Features Returned: 2,000Additional ResourcesVisitLinn County, Iowaon the web.VisitLinn County, Iowa GISon the web.Visit theLinn County, Iowa GIS portal. This site is updated as needed to reflect maps, apps, and data of interest from various County departments.Contact InformationQuestions? Contact the GIS Division by phone at 319.892.5250 or byemail.",English,Linn County Iowa GIS,"Linn County, Iowa",Geospatial data,,LinnCounty|Iowa|NationalGrid|USNG|EMA|EmergencyResponse|E911,2017-10-24T21:55:20.000Z,,,,"Linn County, Iowa|Iowa","-91.9164,41.8095,-91.3002,42.3571",Dataset|Service,Vector,Shapefile,http://opendata-linncounty-gis.opendata.arcgis.com/datasets/2804cd17c3454dddb010f3a6afa22e55_0,http://opendata-linncounty-gis.opendata.arcgis.com/datasets/2804cd17c3454dddb010f3a6afa22e55_0.zip,,https://lcgis.linncounty.org/ags/rest/services/Hosted/USNG100/FeatureServer/0,,2804cd17c3454dddb010f3a6afa22e55_0,Iowa,03b-19113,03b-19113,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Road Centerline,"This feature layer contains Linn County, Iowa road centerlines. This dataset is primarily used for dual range address locating and road classification. This dataset is updated as needed by the Real Estate group within the Auditor's Office.Feature Layer DetailsUpdate Frequency:As neededFeature Class Coordinate System: NAD 1983 (2011) Iowa State Plane North (wkid: 6463)Max Visibility Scale: NoneMin Visibility Scale:1:750,000Max Features Returned: 2,000Additional ResourcesVisitLinn County, Iowaon the web.VisitLinn County, Iowa GISon the web.Visit theLinn County, Iowa GIS portal. This site is updated as needed to reflect maps, apps, and data of interest from various County departments.Contact InformationQuestions? Contact the GIS Division by phone at 319.892.5250 or byemail.",English,Linn County Iowa GIS,"Linn County, Iowa",Geospatial data,,LinnCounty|Iowa|Road|Centerline|RealEstate|Auditor|LandRecords|Cadastral|E911|EMA|EmergencyResponse,2017-10-20T14:09:01.000Z,,,,"Linn County, Iowa|Iowa","-91.8426,41.862,-91.3514,42.2962",Dataset|Service,Vector,Shapefile,http://opendata-linncounty-gis.opendata.arcgis.com/datasets/9f585225e78249e6b9007d27535f7912_0,http://opendata-linncounty-gis.opendata.arcgis.com/datasets/9f585225e78249e6b9007d27535f7912_0.zip,,https://lcgis.linncounty.org/ags/rest/services/RealEstate/dsRoadCenterline/FeatureServer/0,,9f585225e78249e6b9007d27535f7912_0,Iowa,03b-19113,03b-19113,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Political Township,"This feature layer contains Linn County, Iowa political townships. This includes incorporated municipalities and unincorporated townships.Feature Layer DetailsUpdate Frequency:As neededFeature Class Coordinate System: NAD 1983 (2011) Iowa State Plane North (wkid: 6463)Max Visibility Scale: NoneMin Visibility Scale:1:750,000Max Features Returned: 200Additional ResourcesVisitLinn County, Iowaon the web.VisitLinn County, Iowa GISon the web.Visit theLinn County, Iowa GIS portal. This site is updated as needed to reflect maps, apps, and data of interest from various County departments.Contact InformationQuestions? Contact the GIS Division by phone at 319.892.5250 or byemail.",English,Linn County Iowa GIS,"Linn County, Iowa",Geospatial data,,LinnCounty|Iowa|PoliticalTownship|RealEstate|Auditor|LandRecords|Cadastral,2017-10-20T13:48:46.000Z,,,,"Linn County, Iowa|Iowa","-91.8426,41.862,-91.3513,42.2962",Dataset|Service,Vector,Shapefile,http://opendata-linncounty-gis.opendata.arcgis.com/datasets/43dc6117fe504cfa880d7350a0ceb9a0_0,http://opendata-linncounty-gis.opendata.arcgis.com/datasets/43dc6117fe504cfa880d7350a0ceb9a0_0.zip,,https://lcgis.linncounty.org/ags/rest/services/RealEstate/dsPoliticalTownship/FeatureServer/0,,43dc6117fe504cfa880d7350a0ceb9a0_0,Iowa,03b-19113,03b-19113,Active,ArcGIS Hub,,Public,,FALSE,FALSE
,Parcel Ownership,"This feature layer contains Linn County, Iowa parcel geometry joined to tax system information, as well as other derived datasets. This dataset is updated every weekday morning.Feature Layer DetailsUpdate Frequency:Every weekday (Monday - Friday)Feature Class Coordinate System: NAD 1983 (2011) Iowa State Plane North (wkid: 6463)Max Visibility Scale: NoneMin Visibility Scale:1:750,000Max Features Returned: 2,000Additional ResourcesVisitLinn County, Iowaon the web.VisitLinn County, Iowa GISon the web.Visit theLinn County, Iowa GIS portal. This site is updated as needed to reflect maps, apps, and data of interest from various County departments.Contact InformationQuestions? Contact the GIS Division by phone at 319.892.5250 or byemail.",English,Linn County Iowa GIS,"Linn County, Iowa",Geospatial data,,LinnCounty|Iowa|LandRecords|Cadastral|RealEstate|Auditor|Ownership|Parcel,2017-10-16T21:34:27.000Z,,,,"Linn County, Iowa|Iowa","-91.8426,41.8621,-91.3514,42.2961",Dataset|Service,Vector,Shapefile,http://opendata-linncounty-gis.opendata.arcgis.com/datasets/0696fbf5a48d478d976d8b04bc3041f7_0,http://opendata-linncounty-gis.opendata.arcgis.com/datasets/0696fbf5a48d478d976d8b04bc3041f7_0.zip,,https://lcgis.linncounty.org/ags/rest/services/RealEstate/dsParcelPublish/FeatureServer/0,,0696fbf5a48d478d976d8b04bc3041f7_0,Iowa,03b-19113,03b-19113,Active,ArcGIS Hub,,Public,,FALSE,FALSE
