identifier,code,title,alternativeTitle,description,genre,subject,format,type,geometryType,dateIssued,temporalCoverage,Date,spatialCoverage,spatial,provenance,publisher,creator,landingPage,downloadURL,webService,metadataURL,serverType,keywords
291616c40b9044e9a73c61df5faaec85_1,06a-01,Number of deer tested for CWD per township (2015-2019),,"For assistance, please call 517-284-9453 or email?dnr-wildlife@michigan.gov",Geospatial data,,Shapefile,Dataset|Service,Vector,2020-02-27T22:59:55.000Z,,,Michigan,"-90.4872,41.633,-82.1383,47.4779",Michigan State,State of Michigan,Michigan Department of Natural Resources,http://gis-michigan.opendata.arcgis.com/datasets/291616c40b9044e9a73c61df5faaec85_1,"http://gis-michigan.opendata.arcgis.com/datasets/291616c40b9044e9a73c61df5faaec85_1.zip?outSR={""latestWkid"":3857,""wkid"":102100}",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Chronic_Wasting_Disease_Occurrences_and_Testing/FeatureServer/1,,FeatureServer,Chronic Wasting Disease|CWD|deer|Hunting|Wildlife
291616c40b9044e9a73c61df5faaec85_0,06a-01,Number of CWD-positive deer identified per township (2015-2019),,"For assistance, please call 517-284-9453 or email?dnr-wildlife@michigan.gov",Geospatial data,,Shapefile,Dataset|Service,Vector,2020-02-27T22:59:55.000Z,,,Michigan,"-90.4872,41.633,-82.1383,47.4779",Michigan State,State of Michigan,Michigan Department of Natural Resources,http://gis-michigan.opendata.arcgis.com/datasets/291616c40b9044e9a73c61df5faaec85_0,"http://gis-michigan.opendata.arcgis.com/datasets/291616c40b9044e9a73c61df5faaec85_0.zip?outSR={""latestWkid"":3857,""wkid"":102100}",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Chronic_Wasting_Disease_Occurrences_and_Testing/FeatureServer/0,,FeatureServer,Chronic Wasting Disease|CWD|deer|Hunting|Wildlife
540e6cc3c7364a93a443255e88edc853_1,06a-01,Number of deer tested for CWD per township (2015-2019),,"For assistance, please call 517-284-9453 or email?dnr-wildlife@michigan.gov",Geospatial data,,Shapefile,Dataset|Service,Vector,2020-02-27T23:01:11.000Z,,,Michigan,"-90.4872,41.633,-82.1383,47.4779",Michigan State,State of Michigan,Michigan Department of Natural Resources,http://gis-michigan.opendata.arcgis.com/datasets/540e6cc3c7364a93a443255e88edc853_1,"http://gis-michigan.opendata.arcgis.com/datasets/540e6cc3c7364a93a443255e88edc853_1.zip?outSR={""latestWkid"":3857,""wkid"":102100}",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Chronic_Wasting_Disease_Occurrences_and_Testing/FeatureServer/1,,FeatureServer,Chronic Wasting Disease|CWD|deer|Hunting|Wildlife
540e6cc3c7364a93a443255e88edc853_0,06a-01,Number of CWD-positive deer identified per township (2015-2019),,"For assistance, please call 517-284-9453 or email?dnr-wildlife@michigan.gov",Geospatial data,,Shapefile,Dataset|Service,Vector,2020-02-27T23:01:11.000Z,,,Michigan,"-90.4872,41.633,-82.1383,47.4779",Michigan State,State of Michigan,Michigan Department of Natural Resources,http://gis-michigan.opendata.arcgis.com/datasets/540e6cc3c7364a93a443255e88edc853_0,"http://gis-michigan.opendata.arcgis.com/datasets/540e6cc3c7364a93a443255e88edc853_0.zip?outSR={""latestWkid"":3857,""wkid"":102100}",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Chronic_Wasting_Disease_Occurrences_and_Testing/FeatureServer/0,,FeatureServer,Chronic Wasting Disease|CWD|deer|Hunting|Wildlife
4b702058540945aa81286f47c376eb8c_0,06a-01,Michigan NBI Bridge Condition Ratings (All),,"For more information, please see the?MDOT Bridge Page",Geospatial data,,Shapefile,Dataset|Service,Vector,2019-02-19T20:29:07.000Z,,,Michigan,"-90.4142,41.7068,-82.4243,47.467",Michigan State,State of Michigan,Michigan Department of Transportation,http://gis-michigan.opendata.arcgis.com/datasets/4b702058540945aa81286f47c376eb8c_0,"http://gis-michigan.opendata.arcgis.com/datasets/4b702058540945aa81286f47c376eb8c_0.zip?outSR={""latestWkid"":4326,""wkid"":4326}",https://services2.arcgis.com/67lKNkQ2TO1I3lhR/arcgis/rest/services/BridgeConditionExport/FeatureServer/0,,FeatureServer,Bridge
cbe74e033bf0416bbc28971cfc09c39b_0,06a-01,Procurement Vendors,,"This data set includes spend on State of Michigan contracts with Michigan based businesses. Data set includes the following attributes: Vendor Name, Award Document Number, Department, Contract Type, Award Description, Effective Date, Expiration Date, Total Spend, Total Contract Value, County, Representative Name, Senator Name, In Qualified Opportunity Zone, and In Hubzone.More Metadata",Geospatial data,,Shapefile,Dataset|Service,Vector,2019-12-12T15:10:50.000Z,,,Michigan,"-168.1543,70.0123,175.1511,76.1176",Michigan State,State of Michigan,State of Michigan,http://gis-michigan.opendata.arcgis.com/datasets/cbe74e033bf0416bbc28971cfc09c39b_0,http://gis-michigan.opendata.arcgis.com/datasets/cbe74e033bf0416bbc28971cfc09c39b_0.zip,https://utility.arcgis.com/usrsvcs/servers/cbe74e033bf0416bbc28971cfc09c39b/rest/services/CSS/ProcurementVendors/MapServer/0,,MapServer,michigan|procurement|vendors|dtmb
103e33d5e3be47648370aec52627615a_0,06a-01,MdotAadtCaadt2018,,{{default.description}},Geospatial data,,Shapefile,Dataset|Service,Vector,2019-08-27T15:42:38.000Z,,,Michigan,"-90.4853,41.6348,-82.1306,47.4964",Michigan State,State of Michigan,Michigan Department of Transportation,http://gis-michigan.opendata.arcgis.com/datasets/103e33d5e3be47648370aec52627615a_0,"http://gis-michigan.opendata.arcgis.com/datasets/103e33d5e3be47648370aec52627615a_0.zip?outSR={""latestWkid"":4326,""wkid"":4326}",https://utility.arcgis.com/usrsvcs/servers/103e33d5e3be47648370aec52627615a/rest/services/MDOT/MdotAadtCaadt2018/MapServer/0,,MapServer,Traffic|AADT|CAADT|2018
b0d257e340b740c190f55c950cd3462a,06a-01,Chronic Wasting Disease Occurrences & Testing Web App,,"Chronic Wasting Disease Occurrences  Testing?Web AppThis product contains a complex map detailing CWD testing and positive results at the township-level. For assistance, please call 517-284-9453 or email?dnr-wildlife@michigan.gov",Flagged,,ArcGIS Hub Dataset|Esri Rest API,,,2020-02-25T23:41:14.000Z,,,Michigan,"-93.348,40.168,-80.341,49.259",Michigan State,State of Michigan,Michigan Department of Natural Resources,http://gis-michigan.opendata.arcgis.com/datasets/b0d257e340b740c190f55c950cd3462a,,https://midnr.maps.arcgis.com/apps/webappviewer/index.html?id=b0d257e340b740c190f55c950cd3462a,,,Chronic Wasting Disease|CWD|Deer|Hunting|Wildlife
540e6cc3c7364a93a443255e88edc853,06a-01,Number of deer tested for CWD per township (2015-2019),,"For assistance, please call 517-284-9453 or email?dnr-wildlife@michigan.gov",Flagged,,ArcGIS Hub Dataset|Esri Rest API,,,2020-02-27T23:01:11.000Z,,,Michigan,"-90.4872,41.633,-82.1383,47.4779",Michigan State,State of Michigan,Michigan Department of Natural Resources,http://gis-michigan.opendata.arcgis.com/datasets/540e6cc3c7364a93a443255e88edc853,,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Chronic_Wasting_Disease_Occurrences_and_Testing/FeatureServer,,FeatureServer,Chronic Wasting Disease|CWD|deer|Hunting|Wildlife
291616c40b9044e9a73c61df5faaec85,06a-01,Number of CWD-positive deer identified per township (2015-2019),,"For assistance, please call 517-284-9453 or email?dnr-wildlife@michigan.gov",Flagged,,ArcGIS Hub Dataset|Esri Rest API,,,2020-02-27T22:59:55.000Z,,,Michigan,"-90.4872,41.633,-82.1383,47.4779",Michigan State,State of Michigan,Michigan Department of Natural Resources,http://gis-michigan.opendata.arcgis.com/datasets/291616c40b9044e9a73c61df5faaec85,,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Chronic_Wasting_Disease_Occurrences_and_Testing/FeatureServer,,FeatureServer,Chronic Wasting Disease|CWD|deer|Hunting|Wildlife
6e82c3f3e73b4aa2b91cc20e0848458f_0,03a-02,Pavement,,"The Pavement Management Information Systems (PMIS) collected by the Iowa Department of Transportation. Starting in 2013, the data is reported in English Units instead of Metric Units.? For additional information, please see https://iowadot.gov/gis/data/GIS_Metadata/PMIS_METADATA_2017.xlsx.",Geospatial data,,Shapefile,Dataset|Service,Vector,2020-02-11T18:29:28.000Z,,,Iowa,"-96.6326,40.3854,-90.1691,43.501",Iowa,State of Iowa,Iowa Department of Transportation,http://public-iowadot.opendata.arcgis.com/datasets/6e82c3f3e73b4aa2b91cc20e0848458f_0,"http://public-iowadot.opendata.arcgis.com/datasets/6e82c3f3e73b4aa2b91cc20e0848458f_0.zip?outSR={""latestWkid"":3857,""wkid"":102100}",https://services.arcgis.com/8lRhdTsQyJpO52F1/arcgis/rest/services/Pavement_View/FeatureServer/0,,FeatureServer,Iowa DOT|Iowa Department of Transportation|PMIS; Pavement; Roadware; IRI; PCI; Pavement Condition|Assets|Inventory
c5fd759bbdc3457389ac69e7549959e2,03a-02,Traffic,,{{default.description}},Flagged,,ArcGIS Hub Dataset|Esri Rest API,,,2020-02-17T19:38:50.000Z,,,Iowa,"-96.6326,40.3851,-90.161,43.5012",Iowa,State of Iowa,Iowa Department of Transportation,http://public-iowadot.opendata.arcgis.com/datasets/c5fd759bbdc3457389ac69e7549959e2,,https://services.arcgis.com/8lRhdTsQyJpO52F1/arcgis/rest/services/Traffic_View/FeatureServer,,FeatureServer,Iowa|Department of Transportation|Centerline|Primary|Secondary|Municipal|Roads|Estimated|Streets|Traffic|Volume|AADT|Inventory|Asset
