Identifier,Code,landingPage
4eef41b6daa0468ca3efbc4a4044b46e,03a-02,http://public-iowadot.opendata.arcgis.com/datasets/4eef41b6daa0468ca3efbc4a4044b46e
6445da19c9374bfb9e06c75c5a50953d,03a-02,http://public-iowadot.opendata.arcgis.com/datasets/6445da19c9374bfb9e06c75c5a50953d
16308e8bafce401bbc34fd9eac2e4ff3,03a-02,http://public-iowadot.opendata.arcgis.com/datasets/16308e8bafce401bbc34fd9eac2e4ff3
6f745e49983845b3a3752016957c2538,03a-02,http://public-iowadot.opendata.arcgis.com/datasets/6f745e49983845b3a3752016957c2538
be7886520762461498006aeba347b008,03a-02,http://public-iowadot.opendata.arcgis.com/datasets/be7886520762461498006aeba347b008
9acab5e929f645699e2d3bc1afe4cc81,03a-02,http://public-iowadot.opendata.arcgis.com/datasets/9acab5e929f645699e2d3bc1afe4cc81
f35d3f96491e4e19a411076e3a0ed4a4,03a-02,http://public-iowadot.opendata.arcgis.com/datasets/f35d3f96491e4e19a411076e3a0ed4a4
0614fbe3968b4ae4b88215693ad704fc,03a-02,http://public-iowadot.opendata.arcgis.com/datasets/0614fbe3968b4ae4b88215693ad704fc
303c0e41c56a4889b10366987944b807,03a-02,http://public-iowadot.opendata.arcgis.com/datasets/303c0e41c56a4889b10366987944b807
c17d47b61d1343d39f90271f10bfc88d_0,03a-02,http://public-iowadot.opendata.arcgis.com/datasets/c17d47b61d1343d39f90271f10bfc88d_0
55691817703649098f312805a5022757,03a-02,http://public-iowadot.opendata.arcgis.com/datasets/55691817703649098f312805a5022757
c5eb6dba4e9a4913a320e3922ba25e04,03a-02,http://public-iowadot.opendata.arcgis.com/datasets/c5eb6dba4e9a4913a320e3922ba25e04
9b12dd2fe96c4837ac7b425a4ecbf740,03a-02,http://public-iowadot.opendata.arcgis.com/datasets/9b12dd2fe96c4837ac7b425a4ecbf740
520f0c5a480e4339a81702b7988534e6,03a-02,http://public-iowadot.opendata.arcgis.com/datasets/520f0c5a480e4339a81702b7988534e6
3035259065b04a3e9bed001a81be3e0c,03a-02,http://public-iowadot.opendata.arcgis.com/datasets/3035259065b04a3e9bed001a81be3e0c
3497c0c6cdad49a5934dbab6f1feb27c,03a-02,http://public-iowadot.opendata.arcgis.com/datasets/3497c0c6cdad49a5934dbab6f1feb27c
6c19909780ab4f4f96cf9f1fc95b60f8,03a-02,http://public-iowadot.opendata.arcgis.com/datasets/6c19909780ab4f4f96cf9f1fc95b60f8
994056da227a44a9a525ee71a9db47ec_1,04a-01,http://data.imap.maryland.gov/datasets/994056da227a44a9a525ee71a9db47ec_1
08ab37416b1b4bedbcaec6aace27a0d2_0,04a-01,http://data.imap.maryland.gov/datasets/08ab37416b1b4bedbcaec6aace27a0d2_0
8c6b684f47874a7e82861b9c03c746fe_1,04b-24005,http://data-bc-gis.opendata.arcgis.com/datasets/8c6b684f47874a7e82861b9c03c746fe_1
a737ba2a011746909f29f9c758a12eb5,04c-02,http://gis-baltimore.opendata.arcgis.com/datasets/a737ba2a011746909f29f9c758a12eb5
90712f770cac495c8c3e1659e5bf4d71,04c-02,http://gis-baltimore.opendata.arcgis.com/datasets/90712f770cac495c8c3e1659e5bf4d71
33612ccc77254e56aa780da502ddd701,04c-02,http://gis-baltimore.opendata.arcgis.com/datasets/33612ccc77254e56aa780da502ddd701
1019cf2276f24c1f98de5696d68f449d,04c-02,http://gis-baltimore.opendata.arcgis.com/datasets/1019cf2276f24c1f98de5696d68f449d
5645866640f6436f8f37de3d3fbcbbb3,04c-02,http://gis-baltimore.opendata.arcgis.com/datasets/5645866640f6436f8f37de3d3fbcbbb3
e1392fe55c8744b888ebefc746d5d01f,04c-02,http://gis-baltimore.opendata.arcgis.com/datasets/e1392fe55c8744b888ebefc746d5d01f
98188db0e9cc48e1895bf205e30fa5fe,04c-02,http://gis-baltimore.opendata.arcgis.com/datasets/98188db0e9cc48e1895bf205e30fa5fe
f4b0d1fb136e48c587dcf07c57351057,04c-02,http://gis-baltimore.opendata.arcgis.com/datasets/f4b0d1fb136e48c587dcf07c57351057
569ed3651da945ae8d3340f36e3ff1d1,04c-02,http://gis-baltimore.opendata.arcgis.com/datasets/569ed3651da945ae8d3340f36e3ff1d1
9a906cd5934a43d3bdc6051a3bb91840,04c-02,http://gis-baltimore.opendata.arcgis.com/datasets/9a906cd5934a43d3bdc6051a3bb91840
369b982f1da842aebc04c685776d26c1,04c-02,http://gis-baltimore.opendata.arcgis.com/datasets/369b982f1da842aebc04c685776d26c1
5360d6f1e1e149c79c99ccb4bde03049_0,06a-01,http://gis-michigan.opendata.arcgis.com/datasets/5360d6f1e1e149c79c99ccb4bde03049_0
c7b79b038f0b4648a699b24c94ab9fab_0,06a-01,http://gis-michigan.opendata.arcgis.com/datasets/c7b79b038f0b4648a699b24c94ab9fab_0
acbbdc179c7f470581d7f06443bc3317_6,06a-01,http://gis-michigan.opendata.arcgis.com/datasets/acbbdc179c7f470581d7f06443bc3317_6
b4cb1dff3e3944d782476c86b60969fc_0,06a-01,http://gis-michigan.opendata.arcgis.com/datasets/b4cb1dff3e3944d782476c86b60969fc_0
0b3cda7fa50842b8b9b3e33a3d770db3_5,06a-01,http://gis-michigan.opendata.arcgis.com/datasets/0b3cda7fa50842b8b9b3e33a3d770db3_5
f72a03b2c7a243cc8cac9aef71e58efb_0,06a-01,http://gis-michigan.opendata.arcgis.com/datasets/f72a03b2c7a243cc8cac9aef71e58efb_0
625795d9ede64e578924d50e3a034beb_0,06a-01,http://gis-michigan.opendata.arcgis.com/datasets/625795d9ede64e578924d50e3a034beb_0
b52cd98bb02047ca8927eec8879726ef_5,06a-01,http://gis-michigan.opendata.arcgis.com/datasets/b52cd98bb02047ca8927eec8879726ef_5
6ebf7d3d34234464bf53733c375e452b_0,06a-01,http://gis-michigan.opendata.arcgis.com/datasets/6ebf7d3d34234464bf53733c375e452b_0
