Title,Alternative Title,Description,Language,Creator,Title Source,Resource Class,ISO Topic Categories,Keyword,Date Issued,Temporal Coverage,Date Range,Spatial Coverage,Bounding Box,Resource Type,Format,Information,Download,MapServer,FeatureServer,ImageServer,ID,Identifier,Provider,Code,Member Of,Status,Accrual Method,Date Accessioned,Rights,Access Rights,Suppressed,Child Record,File Size
,Excluded Cities,"City of Indianapolis & Marion County, IN Base Map. Compatible w/ ESRI's 'Dark Gray Canvas' Base Map.",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,Indy|Indianapolis|MarionCounty|IN|Indiana|IndyBasemaps,2019-07-23T15:08:11.000Z,,,,"1.2782,14.2020,2.2634,15.1329",Vector data,Shapefile,https://data.indy.gov/datasets/f057aa9e9b2541a3b264d03173726f78_100,,https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_DarkGray/MapServer/100,,,f057aa9e9b2541a3b264d03173726f78_100,https://hub.arcgis.com/datasets/f057aa9e9b2541a3b264d03173726f78_100,Indiana University,01c-02,01c-02,Active,ArcGIS Hub,2021-11-22,,Public,False,False,
,Marion County 4.6-18000,"City of Indianapolis & Marion County, IN Base Map. Compatible w/ ESRI's 'Dark Gray Canvas' Base Map.",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,Indy|Indianapolis|MarionCounty|IN|Indiana|IndyBasemaps,2019-07-23T15:08:11.000Z,,,,"1.2782,14.2020,2.2634,15.1329",Vector data,Shapefile,https://data.indy.gov/datasets/f057aa9e9b2541a3b264d03173726f78_7,https://data.indy.gov/datasets/f057aa9e9b2541a3b264d03173726f78_119.zip,https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_DarkGray/MapServer/7,,,f057aa9e9b2541a3b264d03173726f78_7,https://hub.arcgis.com/datasets/f057aa9e9b2541a3b264d03173726f78_7,Indiana University,01c-02,01c-02,Active,ArcGIS Hub,2021-11-22,,Public,False,False,0.0691 MB
,Excluded Cities,"City of Indianapolis & Marion County, IN Base Map. Compatible w/ ESRI's 'Dark Gray Canvas' Base Map.",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,Indy|Indianapolis|MarionCounty|IN|Indiana|IndyBasemaps,2019-07-23T15:08:11.000Z,,,,"1.2782,14.2020,2.2634,15.1329",Vector data,Shapefile,https://data.indy.gov/datasets/f057aa9e9b2541a3b264d03173726f78_49,https://data.indy.gov/datasets/f057aa9e9b2541a3b264d03173726f78_119.zip,https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_DarkGray/MapServer/49,,,f057aa9e9b2541a3b264d03173726f78_49,https://hub.arcgis.com/datasets/f057aa9e9b2541a3b264d03173726f78_49,Indiana University,01c-02,01c-02,Active,ArcGIS Hub,2021-11-22,,Public,False,False,0.0691 MB
,Roadways,"City of Indianapolis & Marion County, IN Base Map. Compatible w/ ESRI's 'Dark Gray Canvas' Base Map.",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,Indy|Indianapolis|MarionCounty|IN|Indiana|IndyBasemaps,2019-07-23T15:08:11.000Z,,,"North Crows Nest, Indiana|Rocky Ripple, Indiana|Meridian Hills, Indiana|Speedway, Indiana|Williams Creek, Indiana|Wynnedale, Indiana|Southport, Indiana|Hendricks County, Indiana|Beech Grove, Indiana|Clermont, Indiana|Crows Nest, Indiana|Marion County, Indiana|Warren Park, Indiana|Spring Hill, Indiana|Homecroft, Indiana|Indiana","-86.3291,39.6322,-85.9369,39.9278",Vector data,Shapefile,https://data.indy.gov/datasets/f057aa9e9b2541a3b264d03173726f78_103,,https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_DarkGray/MapServer/103,,,f057aa9e9b2541a3b264d03173726f78_103,https://hub.arcgis.com/datasets/f057aa9e9b2541a3b264d03173726f78_103,Indiana University,01c-02,01c-02,Active,ArcGIS Hub,2021-11-22,,Public,False,False,
,Streams,"City of Indianapolis & Marion County, IN Base Map. Compatible w/ ESRI's 'Dark Gray Canvas' Base Map.",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,Indy|Indianapolis|MarionCounty|IN|Indiana|IndyBasemaps,2019-07-23T15:08:11.000Z,,,"North Crows Nest, Indiana|Rocky Ripple, Indiana|Meridian Hills, Indiana|Speedway, Indiana|Williams Creek, Indiana|Wynnedale, Indiana|Southport, Indiana|Hendricks County, Indiana|Beech Grove, Indiana|Clermont, Indiana|Crows Nest, Indiana|Marion County, Indiana|Warren Park, Indiana|Spring Hill, Indiana|Homecroft, Indiana|Indiana","-86.3291,39.6322,-85.9370,39.9278",Vector data,Shapefile,https://data.indy.gov/datasets/f057aa9e9b2541a3b264d03173726f78_126,,https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_DarkGray/MapServer/126,,,f057aa9e9b2541a3b264d03173726f78_126,https://hub.arcgis.com/datasets/f057aa9e9b2541a3b264d03173726f78_126,Indiana University,01c-02,01c-02,Active,ArcGIS Hub,2021-11-22,,Public,False,False,
,Railroad,"City of Indianapolis & Marion County, IN Base Map. Compatible w/ ESRI's 'Dark Gray Canvas' Base Map.",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,Indy|Indianapolis|MarionCounty|IN|Indiana|IndyBasemaps,2019-07-23T15:08:11.000Z,,,"North Crows Nest, Indiana|Rocky Ripple, Indiana|Meridian Hills, Indiana|Speedway, Indiana|Williams Creek, Indiana|Wynnedale, Indiana|Southport, Indiana|Hendricks County, Indiana|Beech Grove, Indiana|Clermont, Indiana|Crows Nest, Indiana|Marion County, Indiana|Warren Park, Indiana|Spring Hill, Indiana|Homecroft, Indiana|Indiana","-86.3290,39.6340,-85.9371,39.9262",Vector data,Shapefile,https://data.indy.gov/datasets/f057aa9e9b2541a3b264d03173726f78_138,,https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_DarkGray/MapServer/138,,,f057aa9e9b2541a3b264d03173726f78_138,https://hub.arcgis.com/datasets/f057aa9e9b2541a3b264d03173726f78_138,Indiana University,01c-02,01c-02,Active,ArcGIS Hub,2021-11-22,,Public,False,False,
,Cul De Sac,"City of Indianapolis & Marion County, IN Base Map. Compatible w/ ESRI's 'Dark Gray Canvas' Base Map.",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,Indy|Indianapolis|MarionCounty|IN|Indiana|IndyBasemaps,2019-07-23T15:08:11.000Z,,,"North Crows Nest, Indiana|Rocky Ripple, Indiana|Meridian Hills, Indiana|Speedway, Indiana|Williams Creek, Indiana|Wynnedale, Indiana|Southport, Indiana|Hendricks County, Indiana|Beech Grove, Indiana|Clermont, Indiana|Crows Nest, Indiana|Marion County, Indiana|Warren Park, Indiana|Spring Hill, Indiana|Homecroft, Indiana|Indiana","-86.3276,39.6335,-85.9379,39.9271",Vector data,Shapefile,https://data.indy.gov/datasets/f057aa9e9b2541a3b264d03173726f78_119,https://data.indy.gov/datasets/f057aa9e9b2541a3b264d03173726f78_119.zip,https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_DarkGray/MapServer/119,,,f057aa9e9b2541a3b264d03173726f78_119,https://hub.arcgis.com/datasets/f057aa9e9b2541a3b264d03173726f78_119,Indiana University,01c-02,01c-02,Active,ArcGIS Hub,2021-11-22,,Public,False,False,0.0691 MB
,Rivers,"City of Indianapolis & Marion County, IN Base Map. Compatible w/ ESRI's 'Dark Gray Canvas' Base Map.",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,Indy|Indianapolis|MarionCounty|IN|Indiana|IndyBasemaps,2019-07-23T15:08:11.000Z,,,"North Crows Nest, Indiana|Rocky Ripple, Indiana|Meridian Hills, Indiana|Speedway, Indiana|Williams Creek, Indiana|Wynnedale, Indiana|Southport, Indiana|Hendricks County, Indiana|Beech Grove, Indiana|Clermont, Indiana|Crows Nest, Indiana|Marion County, Indiana|Warren Park, Indiana|Spring Hill, Indiana|Homecroft, Indiana|Indiana","-86.3251,39.6335,-85.9369,39.9275",Vector data,Shapefile,https://data.indy.gov/datasets/f057aa9e9b2541a3b264d03173726f78_27,https://data.indy.gov/datasets/f057aa9e9b2541a3b264d03173726f78_119.zip,https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_DarkGray/MapServer/27,,,f057aa9e9b2541a3b264d03173726f78_27,https://hub.arcgis.com/datasets/f057aa9e9b2541a3b264d03173726f78_27,Indiana University,01c-02,01c-02,Active,ArcGIS Hub,2021-11-22,,Public,False,False,0.0691 MB
,Railroad,"City of Indianapolis & Marion County, IN Base Map. Compatible w/ ESRI's 'Dark Gray Canvas' Base Map.",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,Indy|Indianapolis|MarionCounty|IN|Indiana|IndyBasemaps,2019-07-23T15:08:11.000Z,,,"North Crows Nest, Indiana|Rocky Ripple, Indiana|Meridian Hills, Indiana|Speedway, Indiana|Williams Creek, Indiana|Wynnedale, Indiana|Southport, Indiana|Hendricks County, Indiana|Beech Grove, Indiana|Clermont, Indiana|Crows Nest, Indiana|Marion County, Indiana|Warren Park, Indiana|Spring Hill, Indiana|Homecroft, Indiana|Indiana","-86.3290,39.6340,-85.9371,39.9262",Vector data,Shapefile,https://data.indy.gov/datasets/f057aa9e9b2541a3b264d03173726f78_53,https://data.indy.gov/datasets/f057aa9e9b2541a3b264d03173726f78_119.zip,https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_DarkGray/MapServer/53,,,f057aa9e9b2541a3b264d03173726f78_53,https://hub.arcgis.com/datasets/f057aa9e9b2541a3b264d03173726f78_53,Indiana University,01c-02,01c-02,Active,ArcGIS Hub,2021-11-22,,Public,False,False,0.0691 MB
,Streams,"City of Indianapolis & Marion County, IN Base Map. Compatible w/ ESRI's 'Dark Gray Canvas' Base Map.",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,Indy|Indianapolis|MarionCounty|IN|Indiana|IndyBasemaps,2019-07-23T15:08:11.000Z,,,"North Crows Nest, Indiana|Rocky Ripple, Indiana|Meridian Hills, Indiana|Speedway, Indiana|Williams Creek, Indiana|Wynnedale, Indiana|Southport, Indiana|Hendricks County, Indiana|Beech Grove, Indiana|Clermont, Indiana|Crows Nest, Indiana|Marion County, Indiana|Warren Park, Indiana|Spring Hill, Indiana|Homecroft, Indiana|Indiana","-86.3291,39.6322,-85.9370,39.9278",Vector data,Shapefile,https://data.indy.gov/datasets/f057aa9e9b2541a3b264d03173726f78_58,https://data.indy.gov/datasets/f057aa9e9b2541a3b264d03173726f78_119.zip,https://xmaps.indy.gov/arcgis/rest/services/Basemaps/IndyBase_DarkGray/MapServer/58,,,f057aa9e9b2541a3b264d03173726f78_58,https://hub.arcgis.com/datasets/f057aa9e9b2541a3b264d03173726f78_58,Indiana University,01c-02,01c-02,Active,ArcGIS Hub,2021-11-22,,Public,False,False,0.0691 MB
