ID,document[b1g_dateRetired_s],document[b1g_status_s],document[publication_state]
general-land-office-maps-county-downloads,2022-01-30,['Inactive'],['unpublished']
AnneArundelMD::street-intersections,2022-01-30,['Inactive'],['unpublished']
0457aa85691d4ba98fb932ebc3545169,2022-01-30,['Inactive'],['unpublished']
maryland::maryland-ecosystem-services-atmospheric-nitrogen-dioxide-removal-kg-per-year,2022-01-30,['Inactive'],['unpublished']
carver::plss-and-control-viewer,2022-01-30,['Inactive'],['unpublished']
egle::statewide-testing-initiative-of-public-water-supplies-sampling-hexbins-and-results,2022-01-30,['Inactive'],['unpublished']
detroitmi::pdd-planning-projects-2,2022-01-30,['Inactive'],['unpublished']
WaukeshaCounty::publication-gisloader-cty-airport-easement-attach,2022-01-30,['Inactive'],['unpublished']
geohio::meigs-rail-crossings-lbrs,2022-01-30,['Inactive'],['unpublished']
nebraska::mile-marker,2022-01-30,['Inactive'],['unpublished']
