identifier,code,title,alternativeTitle,description,genre,subject,format,type,geometryType,dateIssued,temporalCoverage,Date,spatialCoverage,spatial,provenance,publisher,creator,landingPage,downloadURL,webService,metadataURL,serverType,keywords
4ac9ec2887f444728a0609e51b453dc9_0,12b-17043,Fire Protection Districts,,"DuPage County,Fire Protection, Districts",Geospatial data,,Shapefile,Dataset|Service,Vector,2013-07-17T13:34:24.000Z,,,"DuPage County, Illinois|Illinois","-88.2633,41.6856,-87.9125,41.9933",Chicago,"DuPage County, Illinois",DuPage County Illinois,http://gisdata-dupage.opendata.arcgis.com/datasets/4ac9ec2887f444728a0609e51b453dc9_0,http://gisdata-dupage.opendata.arcgis.com/datasets/4ac9ec2887f444728a0609e51b453dc9_0.zip,https://gis.dupageco.org/arcgis/rest/services/DuPage_County_IL/Fire_Protection_Districts/MapServer/0,,MapServer,DuPage County Illinois Fire Protection Districts|Districts|Fire Protection|Fire|DuPage
27bb634d251b4daaae4cf341f3ab1adb_0,03a-02,Airports Location,,"Airport locations and information in Iowa including contact information, location details and more.",Geospatial data,,Shapefile,Dataset|Service,Vector,2019-12-02T20:14:31.000Z,,,Iowa,"-96.563,40.4598,-90.3293,43.4522",Iowa,State of Iowa,Iowa Department of Transportation,http://public-iowadot.opendata.arcgis.com/datasets/27bb634d251b4daaae4cf341f3ab1adb_0,http://public-iowadot.opendata.arcgis.com/datasets/27bb634d251b4daaae4cf341f3ab1adb_0.zip,https://services.arcgis.com/8lRhdTsQyJpO52F1/arcgis/rest/services/Airports_View/FeatureServer/0,,FeatureServer, Replica|Feature Service synchronization|Collaboration|Iowa Department of Transportation|Iowa DOT|Airport|Aviation|Inventory|Assets
59d645711e9541a9a377416f4a266374_0,03a-02,Loess Hills,,"This coverage outlines the boundary of the Loess Hills in Iowa at 1:100,000 scale. Criteria applied to the delineation of the Loess Hills included drainage density, drainage divides, density of isolated hillforms, crenulated contours, slopes greater than 15%, presence of catstep features, general loess thickness and earlier mapping. The following sources were utilized: 1:100,000 and 1:24,000 scale USGS topographic maps, USDA-NRCS STATSGO Soil Survey Grid Information, Digital Elevation Module, and the 1:2,000,000 Landforms of Iowa Coverage.",Geospatial data,,Shapefile,Dataset|Service,Vector,2019-12-02T16:36:02.000Z,,,Iowa,"-96.6126,40.6028,-95.6568,42.7499",Iowa,State of Iowa,Iowa Department of Transportation,http://public-iowadot.opendata.arcgis.com/datasets/59d645711e9541a9a377416f4a266374_0,http://public-iowadot.opendata.arcgis.com/datasets/59d645711e9541a9a377416f4a266374_0.zip,https://services.arcgis.com/8lRhdTsQyJpO52F1/arcgis/rest/services/Loess_Hills_View/FeatureServer/0,,FeatureServer,Loess Hills|USGS|Iowa DOT|Iowa Department of Transportation|Assets|Inventory
23ab9309817f4832810937c8a16239d1_0,04a-01,MDOT SHA NPDES Conveyance,,"BackgroundAs a government agency that owns and maintains separate storm sewer systems, the Maryland State Highway Administration (SHA) is mandated to file a National Pollutant Discharge Elimination System (NPDES) permit with the Maryland Department of the Environment (MDE). The permit requires the inventory, inspection, and maintenance of SHA stormwater infrastructure. SHA is responsible for maintaining storm drain infrastructure on more than 5,000 miles of roadway statewide. SHA has developed a program consisting of SHA personnel, data managers, and subject matter experts to support the permit requirements and maintain these roadways. The tasks involved in the SHA NPDES data collection program are often completed by engineering consultants for SHA.The data are organized into a series of drainage systems with stormwater management facilities that are interconnected, allowing for flow-tracing function through distinct systems. A drainage system is defined as a series of storm drain structures or point features (i.e., manholes, inlets, endwalls) that connect hydraulically through conveyance features such as pipes and / or ditches. Closed and open storm drain structures are connected by pipe and ditch conveyance to create the drainage system. Stormwater management facilities (SWMF), also known as stormwater best management practices (BMP) are inventoried with the storm drain system. A system can include both open and closed storm drain features.ConveyanceConveyance features to be identified and inventoried include actual, physical features (pipes and ditches) and database connectivity features (hydraulic connectors). Conveyance is represented as line features in the database. Although they do not physically exist, hydraulic connectors should be inventoried to facilitate connection of drainage systems through stormwater BMPs; this is the only case where a hydraulic connector is created. Not every pipe or ditch conveyance is inventoried, but generally all conveyances between structures are inventoried. Conveyance features will have an upstream and downstream structure. When contract plans are not available showing proper conveyance for a storm drain system, conveyance can be determined by looking at the pipe(s) direction inside of structures. Field crews are not required to open manhole lids, and conveyance can be assumed at the field crew?s discretion when plans are not available.Pipes, Cross Culverts,  Driveway CulvertsPipes?connect structures together in a system to maintain conveyance. Pipes consist of closed storm drain pipes, cross culverts, and driveway culverts. Rules for collecting cross culvert and driveway culvert pipes are described below. The following are rules that should be followed when collecting pipes within the storm drain network:All pipes between closed storm drain structures are inventoried.Pipes less than five feet in height are inventoried within SHA ROW.Pipes that are greater than five feet in height are not inventoried if they do not connect to closed storm drain structures.?Pipes that are greater than five feet in height and do connect to closed storm drain structures are inventoried with the storm drain network.Closed storm drain systems that outfall through a pipe or culvert that is greater than five feet in height are inventoried.?Pipe size, shape, invert, and material are recorded for all pipes. Because field crews are not required to open grates or manhole lids, this attribute information is most often gathered from contract plans. Pipe sizes and material should be verified in the field by observation through inlet grates and at end structures (headwalls, end sections, outfalls, projection pipes). Field crews should become familiar with different pipe sizes and materials prior to conducting field inventory.Cross Culverts?are pipes, boxes, or arches that convey water from one side of the ROW to the other side, usually under the roadway. Cross culverts are inventoried as pipes. Depending on the situation and culvert size, not all cross culverts will be inventoried. The following are rules that should be followed when collecting cross culverts:The culvert height is determined from contract plans when available. Otherwise care should be taken to measure and estimate the actual culvert height in the field. This may require estimating the depth of sedimentation at the culvert ends to determine the feet of buried culvert.Culverts that are less than five feet in height are inventoried.Culverts that are greater than five feet in height are not inventoried.A culvert that is greater than five feet in height that has a closed storm drain tying in is not inventoried. Instead, the most downstream structure in the closed storm drain system is inventoried as a pipe connection at the location the storm drain system connects to the culvert.Driveway Culverts?and entrance culverts are pipes, possibly with an end structure, that conveys water under driveways, utility access roads, or stormwater BMP access roads. Not all driveway culverts will be inventoried within SHA ROW. The following are rules that should be followed when collection driveway culverts:Private driveway culverts and culverts at farm or other access points that do not require access permits should not be inventoried. Culverts under entrance drives that provide two-way or greater traffic such as multi-family residential, commercial, public, or industrial properties are inventoried. Culverts under SHA-owned stormwater maintenance access or other utility access roads should also be inventoried.If the private driveway or access drive culvert has a closed storm drain structure such as an inlet or riser on the upstream or downstream end of the pipe, then the culvert should be inventoried.If a driveway culvert is excluded from the inventory, other adjoining closed drain structures completing the system should be connected using a ditch. The ditch in this case should be drawn through the culverts as if the culvert does not exist.DitchesDitches and open conveyance are channels or flow paths that connect open structures (headwalls, end sections, endwalls, projection pipes, inlets with open backs) in a system to maintain the conveyance. Attributes collected for ditches include material (vegetative, concrete, riprap, etc.), bottom width, and side slope. Not all ditches or open channels within SHA ROW are to be inventoried in the geodatabase. Ditches to be inventoried are the following:Ditches or open conveyance between open structures.Ditches or open conveyance greater than two feet in bottom width.Ditches or open conveyance that flow into stormwater BMPs regardless of bottom width.Hydraulic ConnectorsHydraulic Connectors connect the outfalls into stormwater BMPs to the control structure of the stormwater BMP to maintain conveyance through the system. Hydraulic connectors are used to represent connectivity through a stormwater BMP from inflows to control structures. Inflow points and control structures for stormwater BMPs should be connected with a hydraulic connector, including infiltration trenches. If hydraulic connectors do not exist in the previous inventory, the current development should create them. The hydraulic connector line features are stored in the CONVEYANCE feature class and no additional attribute information is collected. The connector is use so that connectivity between structures is maintained through stormwater BMPs and network tracing can occur.SimplificationsThe simplification process flattens database tables that normalize attribute information, resulting in a dataset with all attributes but also many null fields when the attribute type is not relevant to the SWMFAC type. The simplified data are a snapshot in time of the production NPDES data, updated every night.PublishingThis service was last published by Elliott Plack on 9/6/2019 based on a materialized view created by John Shiu. The service was republished on 11/26/2016 due to a security requirement on the source dataset.",Geospatial data,,Shapefile,Dataset|Service,Vector,2019-11-26T19:16:28.000Z,,,Maryland,"-79.4108,37.9581,-75.0173,39.7197",Maryland,State of Maryland,ArcGIS Online for Maryland,http://data.imap.maryland.gov/datasets/23ab9309817f4832810937c8a16239d1_0,http://data.imap.maryland.gov/datasets/23ab9309817f4832810937c8a16239d1_0.zip,https://utility.arcgis.com/usrsvcs/servers/23ab9309817f4832810937c8a16239d1/rest/services/NPDES/NPDES_Simple_Conveyance_Maryland_MDOTSHA/FeatureServer/0,,FeatureServer,NPDES|stormwater structures|headwalls|endwalls|cross culverts|pumping stations|stormwater risers and weirs|inlets|pipe connections|manholes|inflow|outflow|outfall|MDOT|MDOT SHA|OED|OHD|stormwater|connectivity|pipes|ditches|SHA|Maryland
08ab37416b1b4bedbcaec6aace27a0d2_0,04a-01,MDOT Dedications,,"MDOT DedicationsIf you have feedback regarding?the accuracy of the information provided in our MDOT Dedications application and/or you know of a dedication we've inadvertently?missed, please?Contact Us.? In your email, please provide as much information as possible related to the specific?dedication(s), including any digital/scanned photos and/or links to information that may be available online.",Geospatial data,,Shapefile,Dataset|Service,Vector,2018-11-27T17:28:30.000Z,,,Maryland,"-79.4865,37.9837,-75.0892,39.7225",Maryland,State of Maryland,ArcGIS Online for Maryland,http://data.imap.maryland.gov/datasets/08ab37416b1b4bedbcaec6aace27a0d2_0,http://data.imap.maryland.gov/datasets/08ab37416b1b4bedbcaec6aace27a0d2_0.zip,https://services.arcgis.com/njFNhDsUCentVYJW/arcgis/rest/services/MDOT_Dedications_View/FeatureServer/0,,FeatureServer,Dedications|MDOT|SHA|Maryland|Veteran
679d98e8f8f9437db3008c13a6cee227_0,04a-01,MDOT Railroad Crossing Inventory (View Only),,MDOT SHA's Railroad Crossing Inventory(This data is continually being updated on a routine basis),Geospatial data,,Shapefile,Dataset|Service,Vector,2017-03-04T18:23:10.000Z,,,Maryland,"-79.4809,38.0012,-75.2125,39.7215",Maryland,State of Maryland,ArcGIS Online for Maryland,http://data.imap.maryland.gov/datasets/679d98e8f8f9437db3008c13a6cee227_0,http://data.imap.maryland.gov/datasets/679d98e8f8f9437db3008c13a6cee227_0.zip,https://services.arcgis.com/njFNhDsUCentVYJW/arcgis/rest/services/MDOT_Railroad_Crossing_Inventory_(View_Only)/FeatureServer/0,,FeatureServer,Railroad|MDOT SHA|Crossings
e73a445450b6459e988c2c9ca2f1c2fb_0,04a-01,MDOT SHA Roadway Sign Inventory,,"Esri AGOL Hosted View Feature Layer which provides access to the MDOT SHA Roadway Sign Inventory data.MDOT SHA Roadway Sign Inventory data consists of point geometric features which represent the geographic locations of signs along MDOT SHA maintained roadways throughout the State of Maryland.? Roadway Signs that share a sign support structure will be represented as stacked geometry.MDOT SHA??Roadway?Sign Inventory data is owned by the MDOT SHA Office of Traffic  Safety (OOTS).? This data is currently updated on an annual basis.? This is the latest version of the data, which was last updated in November 2019 (11/04/2019).Last Updated: November 2019 (11/04/2019)MDOT SHA?Roadway?Sign Inventory data is published on ArcGIS Online for Maryland as a publicly available Hosted Feature Layer with Non-Restricted Access.? Download / Export of the data is available in a variety?of formats.For additional information,?contact?MDOT SHA Geospatial Technologies:Email:?GIS@mdot.maryland.gov",Geospatial data,,Shapefile,Dataset|Service,Vector,2019-11-19T21:22:18.000Z,,,Maryland,"-79.4869,37.9646,-75.0521,39.723",Maryland,State of Maryland,ArcGIS Online for Maryland,http://data.imap.maryland.gov/datasets/e73a445450b6459e988c2c9ca2f1c2fb_0,http://data.imap.maryland.gov/datasets/e73a445450b6459e988c2c9ca2f1c2fb_0.zip,https://services.arcgis.com/njFNhDsUCentVYJW/arcgis/rest/services/MDOT_SHA_Highway_Sign_Inventory_(Public_View)/FeatureServer/0,,FeatureServer,Sign|Signs|3M|Roadway Sign|Roadway Signs|Highway Sign|Highway Signs|Traffic Signs|Statewide|Maryland|MD|Maryland Department of Transportation|MDOT|Maryland Department of Transportation State Highway Administration|MDOT SHA|MDOT SHA Office of Traffic & Safety|OOTS|MDOT SHA Geospatial Technologies|GIS@mdot.maryland.gov
82b63eddc9a64e7783e6a44b86a39efd_2,04c-01,ACS Poverty Status Variables - Boundaries - Tract,,"Data source is the?Esri Demographics team. This layer is a filtered set for the District of Columbia and shows poverty status by age group. Complete?data found here. This is shown by tract boundaries.?This service is updated annually to contain the most currently released American Community Survey (ACS) 5-year data, and contains estimates and margins of error. There are also additional calculated attributes related to this topic, which can be mapped or used within analysis. Poverty status is based on income in past 12 months of survey.?This layer is symbolized to show the percentage of the population whose income falls below the Federal poverty line. To see the full list of attributes available in this service, go to the Data tab, and choose Fields at the top right.?Current Vintage: 2013-2017ACS Table(s): B17020Data downloaded from:?Census Bureau's API for American Community Survey?Date of API call: December 7, 2018National Figures:?American Fact FinderThe United States Census Bureau's American Community Survey (ACS):About the SurveyGeography  ACSTechnical DocumentationNews  UpdatesThis ready-to-use layer can be used within ArcGIS Pro, ArcGIS Online, its configurable apps, dashboards, Story Maps, custom apps, and mobile apps. Data can also be exported for offline workflows. Please cite the Census and ACS when using this data.Data Note from the Census:Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see?Accuracy of the Data).? The effect of nonsampling error is not represented in these tables.Data Processing Notes:This dataset is updated automatically when the most current vintage of ACS data is released each year. The service contains the ACS data as of the current vintage listed. Tabular data is updated annually with the Census Bureau's release schedule. This may alter data values, fields, and boundaries.?Click here?to learn more about ACS data releases.Boundaries come from the?US Census TIGER geodatabases. Boundaries are updated at the same time as the data updates (annually), and the boundary vintage appropriately matches the data vintage?as specified by the Census. These are Census boundaries with water and/or coastlines clipped for cartographic purposes. For census tracts, the water cutouts are derived from a subset of the 2010 AWATER (Area Water) boundaries offered by TIGER. For state and county boundaries, the water and coastlines are derived from the coastlines of the 500k?TIGER Cartographic Boundary Shapefiles. The original AWATER and ALAND fields are still available as attributes within the data table (units are square meters).?The States layer contains 52 records - all US states, Washington D.C., and Puerto RicoCensus tracts with no population that occur in areas of water, such as oceans, are removed from this data service (Census Tracts beginning with 99).Percentages and derived counts, and associated margins of error, are calculated values (that can be identified by the _calc_ stub in the field name), and abide by the specifications?defined by the American Community Survey.Field alias names were created based on the?Table Shells?file available from the?American Community Survey Summary File Documentation page.Negative values (e.g., -555555...) have been set to null. These negative values exist in the raw API data to indicate the following situations:The margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.Either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution.The median falls in the lowest interval of an open-ended distribution, or in the upper interval of an open-ended distribution. A statistical test is not appropriate.The estimate is controlled. A statistical test for sampling variability is not appropriate.The data for this geographic area cannot be displayed because the number of sample cases is too small.?NOTE: any calculated percentages or counts that contain estimates that have null margins of error yield null margins of error for the calculated fields.",Geospatial data,,Shapefile,Dataset|Service,Vector,2019-11-20T20:22:32.000Z,,,"Washington, District of Columbia|District of Columbia|Maryland|Virginia","-179.1473,17.8812,179.7785,71.3904",Maryland,"Washington, District of Columbia","City of Washington, DC",http://opendata.dc.gov/datasets/82b63eddc9a64e7783e6a44b86a39efd_2,http://opendata.dc.gov/datasets/82b63eddc9a64e7783e6a44b86a39efd_2.zip,https://services.arcgis.com/P3ePLMYs2RVChkJx/arcgis/rest/services/ACS_Poverty_by_Age_Boundaries/FeatureServer/2,,FeatureServer,ACS|Census|demographics|people|states|counties|tracts|Poverty|Age|Demographics|Policy|American Community Survey|Census Bureau|current year|at risk|esri demographics|esri|Washington D.C.|District of Columbia|DC|DC GIS
58e08eac0f7d44938e307c7a85ca0b7d,04c-01,Fire and EMS Station Locations,,"This application is to be used to search for and find information on DC FEMS Fire Stations in the District and to find a location's nearest fire stations, First Due area (area for which units at a specific station are due to first arrive), or also known as Fire Alarm Districts.",Flagged,,ArcGIS Hub Dataset|Esri Rest API,,,2018-11-19T15:49:52.000Z,,,"Washington, District of Columbia|District of Columbia|Maryland|Virginia","-77.1645,38.7851,-76.8857,39.0341",Maryland,"Washington, District of Columbia","City of Washington, DC",http://opendata.dc.gov/datasets/58e08eac0f7d44938e307c7a85ca0b7d,,https://dcgis.maps.arcgis.com/apps/webappviewer/index.html?id=58e08eac0f7d44938e307c7a85ca0b7d,,,fems|fire stations|fire|battalion|emergency
1543f0ce742743a2a3eaf78f6ca1c98a,04c-01,EdScape,,"EdScape Beta, short for ?education landscape,? provides information critical to making decisions about whether, where, and what type of public schools, school facilities, and school programs are needed in Washington, DC. This new set of information from the Office of the Deputy Mayor for Education (DME) is intended for policymakers, school leaders, and the public. This information will support data transparency and building a coherent public education system.EdScape Beta is organized by individual chapters with interactive Tableau dashboards that allow visitors to dig into the information and analyze it by grade band (elementary, middle, high, or adult/alternative), area of the city (ward or neighborhood cluster), or by sector (DCPS or public charter). Each of the dashboards also has downloadable Excel data file that can be used with other software. Each chapter also includes a PDF document that summarizes the information for ease of use.",Flagged,,ArcGIS Hub Dataset|Esri Rest API,,,2019-07-31T19:38:34.000Z,,,"Washington, District of Columbia|District of Columbia|Maryland|Virginia","-77.2258,38.7867,-76.8125,39.0009",Maryland,"Washington, District of Columbia","City of Washington, DC",http://opendata.dc.gov/datasets/1543f0ce742743a2a3eaf78f6ca1c98a,,https://edscape.dc.gov/,,,edscape|education|school|public schools|students|school population|enrollment|neighborhood|dc|washington dc|dc gis|dme|osse|dcps|data science
