ID,document[b1g_dateRetired_s],document[b1g_status_s],document[publication_state]
64bde546dab34e84bfa5757ae17f08d3_59,2022-07-12,Inactive,['unpublished']
IowaDOT::bicyclist-intersection,2022-07-12,Inactive,['unpublished']
iowadnr::plss-qq-sections,2022-07-12,Inactive,['unpublished']
linncounty-gis::2020-imagery-township-84-range-7,2022-07-12,Inactive,['unpublished']
AnneArundelMD::police-districts,2022-07-12,Inactive,['unpublished']
BC-GIS::impervious-surface,2022-07-12,Inactive,['unpublished']
HarfordGIS::100yearfloodzone,2022-07-12,Inactive,['unpublished']
dvrpcgis::dvrpc-bicycle-stress-v2-trail-intersections,2022-07-12,Inactive,['unpublished']
PopeCounty::waterbodies-1,2022-07-12,Inactive,['unpublished']
wilkinco::tax-parcels-4,2022-07-12,Inactive,['unpublished']
SEMCOG::tip-and-rtp-projects,2022-07-12,Inactive,['unpublished']
detroitmi::smart-bus-routes,2022-07-12,Inactive,['unpublished']
AlCoGIS::ac-addresspoints,2022-07-12,Inactive,['unpublished']
CentreCountyGov::electionsresults,2022-07-12,Inactive,['unpublished']
countyofdane::aerial-imagery-2020,2022-07-12,Inactive,['unpublished']
racinecounty::electionpollingplaces,2022-07-12,Inactive,['unpublished']
WaukeshaCounty::waukesha-county-maps-and-apps-gallery,2022-07-12,Inactive,['unpublished']
athgis::rrcrossings,2022-07-12,Inactive,['unpublished']
LorainGIS::tracts,2022-07-12,Inactive,['unpublished']
starkcountyohio::ems-jurisdictions,2022-07-12,Inactive,['unpublished']
25b4cf325de74e8580da1629ca0adeb4_27,2022-07-12,Inactive,['unpublished']
DuPage::covid-vaccination-sites,2022-07-12,Inactive,['unpublished']
nebraska::speed-limits-1,2022-07-12,Inactive,['unpublished']
outdoornebraska::nebraska-bul,2022-07-12,Inactive,['unpublished']
Sarpy::election-county-elected-officials,2022-07-12,Inactive,['unpublished']
