identifier,title,description,issued,landingPage
https://data.detroitmi.gov/api/views/p788-ev2h,Airports,Southeast Michigan Ariports,2014-11-26,https://data.detroitmi.gov/d/p788-ev2h,https://data.detroitmi.gov/api/views/p788-ev2h
https://data.detroitmi.gov/api/views/3q8r-442g,DPD: 2015 Carjacking Offenses - Victims (Confirmed) Map,"Year-end, victim-based, listing of Carjacking offenses?a subset of Robberies?that occurred in calendar-year 2015.

NOTE: This PRELIMINARY INFORMATION is used on an ongoing basis by the Detroit Police Department for strategic planning and crime analysis. This data is not final and thus is not the crime data that is reported to the FBI Uniform Crime Reporting Program.",2016-01-07,https://data.detroitmi.gov/d/3q8r-442g,https://data.detroitmi.gov/api/views/3q8r-442g
https://data.detroitmi.gov/api/views/exqw-7q3h,Detroit Public Libraries,"Detroit Public Library (DPL) locations. Data originally sourced from Data Driven Detroit, in partnership with DPL.",2014-11-26,https://data.detroitmi.gov/d/exqw-7q3h,https://data.detroitmi.gov/api/views/exqw-7q3h
https://data.detroitmi.gov/api/views/3tj4-bdqn,2011 Congressional Districts,2011 Congressional Districts,2015-01-22,https://data.detroitmi.gov/d/3tj4-bdqn,https://data.detroitmi.gov/api/views/3tj4-bdqn
https://data.detroitmi.gov/api/views/jej7-iihc,Hardest Hit Fund Areas,Hardest Hit Fund Areas,2015-06-11,https://data.detroitmi.gov/d/jej7-iihc,https://data.detroitmi.gov/api/views/jej7-iihc
https://data.detroitmi.gov/api/views/2u3u-mrvu,2000 Census Block Groups,2000 Census Block Groups,2015-01-22,https://data.detroitmi.gov/d/2u3u-mrvu,https://data.detroitmi.gov/api/views/2u3u-mrvu
https://data.detroitmi.gov/api/views/ku5j-w3uv,Recreation Centers,"A map of Detroit Recreation Department recreation centers. Data originally sourced from Data Driven Detroit, now maintained by the City of Detroit Recreation Department.",2015-01-22,https://data.detroitmi.gov/d/ku5j-w3uv,https://data.detroitmi.gov/api/views/ku5j-w3uv
https://data.detroitmi.gov/api/views/62rv-kyp9,Zoning,Zoning,2016-11-08,https://data.detroitmi.gov/d/62rv-kyp9,https://data.detroitmi.gov/api/views/62rv-kyp9
https://data.detroitmi.gov/api/views/pnwk-yivg,DPD Scout Car Areas,Detroit Police Department (DPD) scout car areas,2014-11-26,https://data.detroitmi.gov/d/pnwk-yivg,https://data.detroitmi.gov/api/views/pnwk-yivg
https://data.detroitmi.gov/api/views/63nh-ijfg,Freeway Names,Freeway Name Labels (large and small scale),2014-11-26,https://data.detroitmi.gov/d/63nh-ijfg,https://data.detroitmi.gov/api/views/63nh-ijfg
https://data.detroitmi.gov/api/views/vfqv-c584,Innovation District,Innovation District,2015-01-23,https://data.detroitmi.gov/d/vfqv-c584,https://data.detroitmi.gov/api/views/vfqv-c584
https://data.detroitmi.gov/api/views/kjmy-b9g3,SMART Bus Routes,SMART fixed bus routes,2017-10-17,https://data.detroitmi.gov/d/kjmy-b9g3,https://data.detroitmi.gov/api/views/kjmy-b9g3
https://data.detroitmi.gov/api/views/fxkw-udwf,Parcel Map,Parcel shapefile with property information including ownership and tax valuation information. For a point based file with the same information visit this page: https://data.detroitmi.gov/Property-Parcels/Parcel-Points-Ownership/dxgi-9s8s,2016-07-12,https://data.detroitmi.gov/d/fxkw-udwf,https://data.detroitmi.gov/api/views/fxkw-udwf
https://data.detroitmi.gov/api/views/qyik-3ame,Detroit People Mover Route,The track footprint of the Detroit People Mover.,2015-01-23,https://data.detroitmi.gov/d/qyik-3ame,https://data.detroitmi.gov/api/views/qyik-3ame
https://data.detroitmi.gov/api/views/mbx2-k8cj,Census Tracts 2010,2010 Census Tracts downloaded from Census Bureau.,2017-03-20,https://data.detroitmi.gov/d/mbx2-k8cj,https://data.detroitmi.gov/api/views/mbx2-k8cj
https://data.detroitmi.gov/api/views/kkvb-6h7t,DPD Stations,Detroit Police Department (DPD) police stations,2016-07-07,https://data.detroitmi.gov/d/kkvb-6h7t,https://data.detroitmi.gov/api/views/kkvb-6h7t
https://data.detroitmi.gov/api/views/4wuc-9ay9,DPD: 2014 Non-Fatal Shooting Offenses - Victims (Confirmed),"Year-end, victim-based, listing of Non-Fatal Shootings offenses?a subset of Aggravated Assaults?that occurred in calendar-year 2014.
NOTE: This PRELIMINARY INFORMATION is used on an ongoing basis by the Detroit Police Department for strategic planning and crime analysis. This data is not final and thus is not the crime data that is reported to the FBI Uniform Crime Reporting Program.",2016-01-07,https://data.detroitmi.gov/d/4wuc-9ay9,https://data.detroitmi.gov/api/views/4wuc-9ay9
https://data.detroitmi.gov/api/views/vuds-ciae,Elevated Lead Levels by ZIP Code,Data provided by the Michigan Department of Health and Human Services in their annual report on childhood lead poisoning.,2017-03-20,https://data.detroitmi.gov/d/vuds-ciae,https://data.detroitmi.gov/api/views/vuds-ciae
https://data.detroitmi.gov/api/views/a5w2-tcit,SMART Bus Stops,Suburban Mobility Authority for Regional Transportation (SMART) bus stops. Data originally sourced from Data Driven Detroit.,2014-11-26,https://data.detroitmi.gov/d/a5w2-tcit,https://data.detroitmi.gov/api/views/a5w2-tcit
https://data.detroitmi.gov/api/views/yu9n-k8rd,Parks 2016,Parks shapes updated for 2016,2016-03-14,https://data.detroitmi.gov/d/yu9n-k8rd,https://data.detroitmi.gov/api/views/yu9n-k8rd
https://data.detroitmi.gov/api/views/h78i-46dc,2011 State Senate Districts,2011 State Senate Districts,2015-01-22,https://data.detroitmi.gov/d/h78i-46dc,https://data.detroitmi.gov/api/views/h78i-46dc
https://data.detroitmi.gov/api/views/qxwb-4rfy,Neighborhood Stabilization Program II,City of Detroit Neighborhood Stabilization Program (NSP) II boundary.,2017-07-11,https://data.detroitmi.gov/d/qxwb-4rfy,https://data.detroitmi.gov/api/views/qxwb-4rfy
https://data.detroitmi.gov/api/views/qtg8-bti5,Neighborhood Police Officers,Neighborhood Police Officers by Scout Car Areas,2017-09-27,https://data.detroitmi.gov/d/qtg8-bti5,https://data.detroitmi.gov/api/views/qtg8-bti5
https://data.detroitmi.gov/api/views/ic8q-h3ar,Trash Pickup Zones,"Trash pick-up zones, days, and contractors",2017-03-20,https://data.detroitmi.gov/d/ic8q-h3ar,https://data.detroitmi.gov/api/views/ic8q-h3ar
https://data.detroitmi.gov/api/views/aepr-nnw7,Detroit Medically Underserved Areas/Population,The Medically Underserved Areas/Populations (MUA/P) show designated MUA/Ps as well as MUA/Ps as they relate to HRSA Office of Rural Health Policy (ORHP) designated rural health areas. MUA/P designations are based on the Index of Medical Underservice (IMU).  IMU is calculated based on four criteria: population to provider ratio; percent of the population below the federal poverty level; percent of the population over age 65; and infant mortality rate.,2016-12-06,https://data.detroitmi.gov/d/aepr-nnw7,https://data.detroitmi.gov/api/views/aepr-nnw7
https://data.detroitmi.gov/api/views/w6n5-qfqz,Major Street Names,Major Thoroughfare Name Labels (large and small scale),2014-11-26,https://data.detroitmi.gov/d/w6n5-qfqz,https://data.detroitmi.gov/api/views/w6n5-qfqz
https://data.detroitmi.gov/api/views/jw8v-3bxg,DPD Precincts,Detroit Police Department precinct boundaries,2015-10-19,https://data.detroitmi.gov/d/jw8v-3bxg,https://data.detroitmi.gov/api/views/jw8v-3bxg
https://data.detroitmi.gov/api/views/ryzr-nwzf,Opportunity Zones,Qualified Opportunity Zones in the City of Detroit by Census tract.,2018-04-06,https://data.detroitmi.gov/d/ryzr-nwzf,https://data.detroitmi.gov/api/views/ryzr-nwzf
https://data.detroitmi.gov/api/views/nzd8-nn5w,Master Plan Neighborhoods,Master Plan Neighborhood Areas.,2017-07-11,https://data.detroitmi.gov/d/nzd8-nn5w,https://data.detroitmi.gov/api/views/nzd8-nn5w
https://data.detroitmi.gov/api/views/4b6s-3ev3,2000 Census Tracts,2000 Census Tracts,2015-01-22,https://data.detroitmi.gov/d/4b6s-3ev3,https://data.detroitmi.gov/api/views/4b6s-3ev3
https://data.detroitmi.gov/api/views/7rr3-avkc,1990 Census Tracts,1990 Census Tracts,2015-01-22,https://data.detroitmi.gov/d/7rr3-avkc,https://data.detroitmi.gov/api/views/7rr3-avkc
https://data.detroitmi.gov/api/views/ipa4-scig,Detroit Public Schools Sites,The footprint of sites owned by Detroit Public Schools.,2015-01-22,https://data.detroitmi.gov/d/ipa4-scig,https://data.detroitmi.gov/api/views/ipa4-scig
https://data.detroitmi.gov/api/views/fy5z-ths7,Greenways,"Map developed for the Greenways Initiative Regional Planning Process in January, 2007",2015-03-10,https://data.detroitmi.gov/d/fy5z-ths7,https://data.detroitmi.gov/api/views/fy5z-ths7
https://data.detroitmi.gov/api/views/3eng-xv6z,Election Precincts,Election Precincts in the City of Detroit as of 2016.,2015-02-04,https://data.detroitmi.gov/d/3eng-xv6z,https://data.detroitmi.gov/api/views/3eng-xv6z
https://data.detroitmi.gov/api/views/p746-ctzn,DPD: 2015 Non-Fatal Shooting Offenses - Victims (Confirmed) Map,"Year-end, victim-based, listing of Non-Fatal Shootings offenses?a subset of Aggravated Assaults?that occurred in calendar-year 2015.

NOTE: This PRELIMINARY INFORMATION is used on an ongoing basis by the Detroit Police Department for strategic planning and crime analysis. This data is not final and thus is not the crime data that is reported to the FBI Uniform Crime Reporting Program.",2016-01-07,https://data.detroitmi.gov/d/p746-ctzn,https://data.detroitmi.gov/api/views/p746-ctzn
https://data.detroitmi.gov/api/views/ukhw-j8ci,Neighborhood Revitalization Strategy Areas (NRSA),"Please see attached link for further detail. 
http://www.detroitmi.gov/Portals/0/docs/Planning/PDF/City%20of%20Detroit%20NRSA%20Application%202015%2001%2005_1.pdf",2018-06-19,https://data.detroitmi.gov/d/ukhw-j8ci,https://data.detroitmi.gov/api/views/ukhw-j8ci
https://data.detroitmi.gov/api/views/dkav-a7rb,Traffic Signals,Location of all traffic signals,2015-12-22,https://data.detroitmi.gov/d/dkav-a7rb,https://data.detroitmi.gov/api/views/dkav-a7rb
https://data.detroitmi.gov/api/views/9irz-u76s,Hospitals,"Data sourced from Data Driven Detroit. List of hospitals in the city of Detroit, Michigan. Data includes the name and address and number of beds for each hospital in the city. Data also include primary operating entity and telephone contact information for each hospital.",2014-11-26,https://data.detroitmi.gov/d/9irz-u76s,https://data.detroitmi.gov/api/views/9irz-u76s
https://data.detroitmi.gov/api/views/2ebr-d8z3,SMART Park and Ride Routes,SMART park and ride bus routes.,2017-10-17,https://data.detroitmi.gov/d/2ebr-d8z3,https://data.detroitmi.gov/api/views/2ebr-d8z3
https://data.detroitmi.gov/api/views/ruqh-3htk,City of Detroit Zip Code Boundaries,City of Detroit Zip Code Boundaries,2015-01-23,https://data.detroitmi.gov/d/ruqh-3htk,https://data.detroitmi.gov/api/views/ruqh-3htk
https://data.detroitmi.gov/api/views/y2eq-n4p8,Colleges and Universities,Colleges and Universities located in Detroit,2014-11-26,https://data.detroitmi.gov/d/y2eq-n4p8,https://data.detroitmi.gov/api/views/y2eq-n4p8
https://data.detroitmi.gov/api/views/9zkf-xhz4,Secondary Street Names,Secondary Thoroughfare Name Labels,2014-11-26,https://data.detroitmi.gov/d/9zkf-xhz4,https://data.detroitmi.gov/api/views/9zkf-xhz4
https://data.detroitmi.gov/api/views/h8ij-tu87,Detroit Public School Locations,The center point of of sites owned by Detroit Public Schools.,2015-01-22,https://data.detroitmi.gov/d/h8ij-tu87,https://data.detroitmi.gov/api/views/h8ij-tu87
https://data.detroitmi.gov/api/views/98iq-nfrr,NEZ-H Districts,This dataset contains boundaries of Neighborhood Enterprise Zones Homestead (NEZ-H) districts created between July 2006 and July 2008. PA 147 of 1992 was amended in January 2006 to allow for the formation of NEZ-H districts. Please see the attached PDF for full metadata.,2018-08-24,https://data.detroitmi.gov/d/98iq-nfrr,https://data.detroitmi.gov/api/views/98iq-nfrr
https://data.detroitmi.gov/api/views/9d8p-4k7v,DPD: 2015 Homicide Offenses - Victims (Confirmed) Map,"Year-end, victim-based, listing of homicide offenses that occurred in calendar-year 2015.

NOTE: This PRELIMINARY INFORMATION is used on an ongoing basis by the Detroit Police Department for strategic planning and crime analysis. This data is not final and thus is not the crime data that is reported to the FBI Uniform Crime Reporting Program.",2016-01-07,https://data.detroitmi.gov/d/9d8p-4k7v,https://data.detroitmi.gov/api/views/9d8p-4k7v
https://data.detroitmi.gov/api/views/v3ct-r7wi,RTA Bus Routes,RTA bus routes,2017-10-17,https://data.detroitmi.gov/d/v3ct-r7wi,https://data.detroitmi.gov/api/views/v3ct-r7wi
https://data.detroitmi.gov/api/views/4bda-mhjb,Detroit Future City - Future Land Use,"Detroit Works Project 10, 20, and 50 year Land Use Scenarios",2017-07-11,https://data.detroitmi.gov/d/4bda-mhjb,https://data.detroitmi.gov/api/views/4bda-mhjb
https://data.detroitmi.gov/api/views/iguc-9tjj,2010 Census Block Groups,2010 Census Block Groups,2015-01-22,https://data.detroitmi.gov/d/iguc-9tjj,https://data.detroitmi.gov/api/views/iguc-9tjj
https://data.detroitmi.gov/api/views/wtmf-dux5,2011 State House Districts,2011 State House Districts,2015-01-22,https://data.detroitmi.gov/d/wtmf-dux5,https://data.detroitmi.gov/api/views/wtmf-dux5
https://data.detroitmi.gov/api/views/fsbf-9tct,Election Districts,Election Districts in the City of Detroit as of 2014.,2015-01-23,https://data.detroitmi.gov/d/fsbf-9tct,https://data.detroitmi.gov/api/views/fsbf-9tct
https://data.detroitmi.gov/api/views/rdag-2fyy,2010 Hard To Count Sites,2010 Hard To Count Sites,2015-01-22,https://data.detroitmi.gov/d/rdag-2fyy,https://data.detroitmi.gov/api/views/rdag-2fyy
https://data.detroitmi.gov/api/views/88d7-8wwf,Recycling Zones,Recycling pickup zones and days,2017-03-20,https://data.detroitmi.gov/d/88d7-8wwf,https://data.detroitmi.gov/api/views/88d7-8wwf
https://data.detroitmi.gov/api/views/vapg-c9ea,Weekday Boarding/ Alighting Activity,Bus Stop Activity from April 2012 - Includes boarding and alighting at each individual stop in the system,2016-02-16,https://data.detroitmi.gov/d/vapg-c9ea,https://data.detroitmi.gov/api/views/vapg-c9ea
https://data.detroitmi.gov/api/views/9ssd-ypf9,Child Care Providers,"Locations of all Licensed and / or Registered childcare providers in Southeast Michigan from June 2014. Provided by the United Way of Southeast Michigan's Regional Resource Center. Contains information on whether a provider is a Head Start or Great Start Readiness provider, as well as the quality rating from Great Start to Quality if a provider participates. This data was exported to Data Driven Detroit by the United Way for SE Michigan. Data Driven Detroit added fields indicating whether a location was physically in Detroit, and also a single field indicating whether a provider paricipated in either Head Start, Great Start or Early Head Start. Locations of all Licensed and / or Registered childcare providers in Southeast Michigan from June 2014. Provided by the United Way of Southeast Michigan's Regional Resource Center, a partner of the Early Childhood Investment Corporation. Contains information on whether a provider is a Head Start or Great Start Readiness provider, as well as the quality rating from Great Start to Quality if a provider participates. This data was exported to Data Driven Detroit by the United Way for SE Michigan. Data Driven Detroit added fields indicating whether a location was physically in Detroit, and also a single field indicating whether a provider paricipated in either Head Start, Great Start or Early Head Start.",2014-11-26,https://data.detroitmi.gov/d/9ssd-ypf9,https://data.detroitmi.gov/api/views/9ssd-ypf9
https://data.detroitmi.gov/api/views/g6eq-mhyv,Non-motorized Routes,"This map marks the general location of preferred corridors for non-motorized transportation routes, with an emphasis upon connecting residents with parks,  commercial activity centers or other attractions. These routes are not intended to identify right-of-ways; right-of-ways will need to be acquired or dedicated.",2015-03-10,https://data.detroitmi.gov/d/g6eq-mhyv,https://data.detroitmi.gov/api/views/g6eq-mhyv
