identifier,code,title,alternativeTitle,description,genre,subject,format,type,geometryType,dateIssued,temporalCoverage,Date,spatialCoverage,spatial,provenance,isPartOf,publisher,creator,landingPage,downloadURL,webService,metadataURL,serverType,keywords
dbf7745450c04acbb4776da3fe432b7a,01c-02,2018 General Election Results,,"2018 General Election ResultsContest and precinct results are presented here in an Excel document.Marion
 County reduced its number of precincts from 917 to 590 in December 
2007. Therefore, the precinct results for those elections occurring 
after December 2007 are not comparable with those elections occurring 
before December 2007.Marion County increased the number of precincts 
from 590 to 600 in December 2011. Therefore, the precinct results for 
those elections occurring after December 2011 are not comparable with 
those election occurring between December 2007 through December 2011.",error,,error,error,,2019-05-08T19:38:52.000Z,,,"City of Indianapolis, Indiana, United States|Indiana, United States","-180.0,-90.0,180.0,90.0",Indiana,Municipalities Geospatial Data,"City of Indianapolis, Indiana",City of Indianapolis and Marion County - IndyGIS,http://data1-indygis.opendata.arcgis.com/datasets/dbf7745450c04acbb4776da3fe432b7a,error,https://xmaps.indy.gov/ODP/Download/Elections/2018GeneralElectionResults.xlsx,,,Election Results|Election Results Archive|Political|2018 Election Results|Indy Election Results
10f19e50173048218d99372a59d03473,01c-02,Wayne Township Base Map - E Size,,"Township wide map with base map layers 36 x 48 (E size).Base map layers include Streets, Hydrology, Parks, Schools, Railroads, Excluded Cities, Hospitals, Airfields, some recreation features, Address Grid and Township boundaries.",Flagged,,PDF,,,2015-04-30T16:22:02.000Z,,,"City of Indianapolis, Indiana, United States|Indiana, United States","-180.0,-90.0,180.0,90.0",Indiana,Municipalities Geospatial Data,"City of Indianapolis, Indiana",City of Indianapolis and Marion County - IndyGIS,http://data1-indygis.opendata.arcgis.com/datasets/10f19e50173048218d99372a59d03473,,https://xmaps.indy.gov/MapLibrary/download/WayneBaseE.pdf,,,Marion County|Indianapolis|Wayne Township|Base Map
cd127cfc8168419e96ae152aa445bb76,01c-02,Franklin Township Base Map- E Size,,"Township wide map with base map layers 36 x 48 (E size).Base map layers include Streets, Hydrology, Parks, Schools, Railroads, Excluded Cities, Hospitals, Airfields, some recreation features, Address Grid and Township boundaries.",Flagged,,PDF,,,2015-04-29T19:30:25.000Z,,,"City of Indianapolis, Indiana, United States|Indiana, United States","-180.0,-90.0,180.0,90.0",Indiana,Municipalities Geospatial Data,"City of Indianapolis, Indiana",City of Indianapolis and Marion County - IndyGIS,http://data1-indygis.opendata.arcgis.com/datasets/cd127cfc8168419e96ae152aa445bb76,,https://xmaps.indy.gov/MapLibrary/download/FranklinBaseE.pdf,,,Indianapolis|Marion County|Franklin Township|Base Map
70e2898d27944e9492a534308e9af92e,01c-02,Pike Township Base Map - E Size,,"Township wide map with base map layers 36 x 48 (E size).Base map layers include Streets, Hydrology, Parks, Schools, Railroads, Excluded Cities, Hospitals, Airfields, some recreation features, Address Grid and Township boundaries.",Flagged,,PDF,,,2015-04-30T15:56:20.000Z,,,"City of Indianapolis, Indiana, United States|Indiana, United States","-180.0,-90.0,180.0,90.0",Indiana,Municipalities Geospatial Data,"City of Indianapolis, Indiana",City of Indianapolis and Marion County - IndyGIS,http://data1-indygis.opendata.arcgis.com/datasets/70e2898d27944e9492a534308e9af92e,,https://xmaps.indy.gov/MapLibrary/download/PikeBaseE.pdf,,,Pike Township|Pike Base Map|Maps|Base Map
f7999117b1634504ad024d3f0521d4d7,01c-02,Warren Township Base Map - E Size,,"Township wide map with base map layers 36 x 48 (E size).

Base map layers include Streets, Hydrology, Parks, Schools, Railroads, Excluded Cities, Hospitals, Airfields, some recreation features, Address Grid and Township boundaries.",Flagged,,PDF,,,2015-04-30T16:09:48.000Z,,,"City of Indianapolis, Indiana, United States|Indiana, United States","-180.0,-90.0,180.0,90.0",Indiana,Municipalities Geospatial Data,"City of Indianapolis, Indiana",City of Indianapolis and Marion County - IndyGIS,http://data1-indygis.opendata.arcgis.com/datasets/f7999117b1634504ad024d3f0521d4d7,,https://xmaps.indy.gov/MapLibrary/download/WarrenBaseE.pdf,,,Marion County|Indianapolis|Warren Township|Base Map
952d0d3d3c734e318ae8dbfef011ee9e,01c-02,Perry Township Basemap - E Size,,"Township wide map with base map layers 36 x 48 (E size).Base map layers include Streets, Hydrology, Parks, Schools, Railroads, Excluded Cities, Hospitals, Airfields, some recreation features, Address Grid and Township boundaries.",Flagged,,PDF,,,2015-04-30T14:21:47.000Z,,,"City of Indianapolis, Indiana, United States|Indiana, United States","-180.0,-90.0,180.0,90.0",Indiana,Municipalities Geospatial Data,"City of Indianapolis, Indiana",City of Indianapolis and Marion County - IndyGIS,http://data1-indygis.opendata.arcgis.com/datasets/952d0d3d3c734e318ae8dbfef011ee9e,,https://xmaps.indy.gov/MapLibrary/download/PerryBaseE.pdf,,,Indianapolis|Marion County|Perry Township|Base Map
8069f81262cb4916b6919a1dbffa6930,01c-02,Washington Township Base Map - E Size,,"Township wide map with base map layers 36 x 48 (E size).Base map layers include Streets, Hydrology, Parks, Schools, Railroads, Excluded Cities, Hospitals, Airfields, some recreation features, Address Grid and Township boundaries.",Flagged,,PDF,,,2015-04-30T16:18:34.000Z,,,"City of Indianapolis, Indiana, United States|Indiana, United States","-180.0,-90.0,180.0,90.0",Indiana,Municipalities Geospatial Data,"City of Indianapolis, Indiana",City of Indianapolis and Marion County - IndyGIS,http://data1-indygis.opendata.arcgis.com/datasets/8069f81262cb4916b6919a1dbffa6930,,https://xmaps.indy.gov/MapLibrary/download/WashingtonBaseE.pdf,,,Marion County|Indianapolis|Washington Township|Base Map
a8f4c07f4ac44f7cb766920777c39fcb,01c-02,Lawrence Township Base Map - E Size,,"Township wide map with base map layers 36 x 48 (E size).Base map layers include Streets, Hydrology, Parks, Schools, Railroads, Excluded Cities, Hospitals, Airfields, some recreation features, Address Grid and Township boundaries.",Flagged,,PDF,,,2015-04-30T14:09:26.000Z,,,"City of Indianapolis, Indiana, United States|Indiana, United States","-180.0,-90.0,180.0,90.0",Indiana,Municipalities Geospatial Data,"City of Indianapolis, Indiana",City of Indianapolis and Marion County - IndyGIS,http://data1-indygis.opendata.arcgis.com/datasets/a8f4c07f4ac44f7cb766920777c39fcb,,https://xmaps.indy.gov/MapLibrary/download/LawrenceBaseE.pdf,,,Indianapolis|Marion County|Lawrence Township|Base Map
eaa90122afde4485b329a699030da7fe,01c-02,Center Township Base Map - E Size,,"Township wide map with base map layers 36 x 48 (E size)Base map layers include Streets, Hydrology, Parks, Schools, Railroads, Excluded Cities, Hospitals, Airfields, some recreation features, Address Grid and Township boundaries.",Flagged,,PDF,,,2015-04-29T19:20:51.000Z,,,"City of Indianapolis, Indiana, United States|Indiana, United States","-180.0,-90.0,180.0,90.0",Indiana,Municipalities Geospatial Data,"City of Indianapolis, Indiana",City of Indianapolis and Marion County - IndyGIS,http://data1-indygis.opendata.arcgis.com/datasets/eaa90122afde4485b329a699030da7fe,,https://xmaps.indy.gov/MapLibrary/download/CenterBaseE.pdf,,,Marion County|Indianapolis|Center Township|Base Map
d376cae05d064a31a17492d09634ffb5,01c-02,2018 General Election Results Summary,,2018 General Election Results Summary,error,,error,error,,2019-05-08T19:43:46.000Z,,,"City of Indianapolis, Indiana, United States|Indiana, United States","-180.0,-90.0,180.0,90.0",Indiana,Municipalities Geospatial Data,"City of Indianapolis, Indiana",City of Indianapolis and Marion County - IndyGIS,http://data1-indygis.opendata.arcgis.com/datasets/d376cae05d064a31a17492d09634ffb5,error,https://xmaps.indy.gov/ODP/Download/Elections/2018GeneralElectionResultsSummary.txt,,,Election Results Summary|Indy Election Results|Political
