Title,Alternative Title,Description,Language,Creator,Title Source,Resource Class,Theme,Keyword,Date Issued,Temporal Coverage,Date Range,Spatial Coverage,Bounding Box,Resource Type,Format,Information,Download,MapServer,FeatureServer,ImageServer,ID,Identifier,Provider,Code,Member Of,Is Part Of,Status,Accrual Method,Date Accessioned,Rights,Access Rights,Suppressed,Child Record,File Size
Place Points,PlacePoints,"PLACES (PopulationLevelAnalysis andCommunityEstimates) is an expansion of the original 500 Cities project and is a collaboration between theCenters for Disease Control and Prevention (CDC), theRobert Wood Johnson Foundation (RWJF), and theCDC Foundation (CDCF). The original 500 Cities Project provided city- and census tract-level estimates for the 500 largest US cities. PLACES extends these estimates to all counties, places (incorporated and census designated places), census tracts, and ZIP Code Tabulation Areas (ZCTA) across the United States. This service includes 29 measures for chronic disease related health outcomes (13), prevention measures (9), health risk behaviors (4), and health status (3). Data were provided by CDC Division of Population Health, Epidemiology and Surveillance Branch. Data sources used to generate these measures include BRFSS data (2019 or 2018), Census Bureau 2010 census population data or annual population estimates for county vintage 2019 or 2018, and American Community Survey (ACS) 2015-2019 or 2014-2018 estimates.The health outcomes include arthritis, current asthma, high blood pressure, cancer (excluding skin cancer), high cholesterol, chronic kidney disease, chronic obstructive pulmonary disease (COPD), coronary heart disease, diagnosed diabetes, depression, obesity, all teeth lost, and stroke. The prevention measures include lack of health insurance, visits to doctor for routine checkup, visits to dentist, taking medicine for high blood pressure control, cholesterol screening, mammography use for women, cervical cancer screening for women, colon cancer screening, and core preventive services use for older adults (men and women). The health risk behaviors include binge drinking, current smoking, physical inactivity, and sleeping less than 7 hours. The health status measures include mental health not good for ≥14 days, physical health not good for ≥14 days, and fair or poor health. For more information, please visithttps://www.cdc.gov/placesor contactplaces@cdc.gov.",eng,Centers for Disease Control and Prevention,Esri,Datasets,Location,Chronicdisease|Smallareaestimation|Riskfactor|Healthoutcome|Prevention|CDC|CensusTract|City|Health|PLACES|ZCTA|County,2020-08-31T18:35:16.000Z,Continually updated resource,,United States,"-176.6208,19.1605,-66.9899,71.3879",Vector data,Shapefile,https://gis-for-racialequity.hub.arcgis.com/maps/cdcarcgis::placepoints,https://gis-for-racialequity.hub.arcgis.com/datasets/cdcarcgis::placepoints.zip,,https://services3.arcgis.com/ZvidGQkLaDJxRSJ2/arcgis/rest/services/PLACES_LocalData_for_BetterHealth/FeatureServer/0,,3b7221d4e47740cab9235b839fa55cd7_0,https://hub.arcgis.com/datasets/item.html?id=3b7221d4e47740cab9235b839fa55cd7_0,Esri GIS For Racial Equity Hub,99-1100,ba5cc745-21c5-4ae9-954b-72dd8db6815a,99-1100,Active,ArcGIS Hub,10/14/22,,Public,FALSE,FALSE,12.8375 MB
Zip Code Tabulation Areas (ZCTAs),ZCTAs,"PLACES (PopulationLevelAnalysis andCommunityEstimates) is an expansion of the original 500 Cities project and is a collaboration between theCenters for Disease Control and Prevention (CDC), theRobert Wood Johnson Foundation (RWJF), and theCDC Foundation (CDCF). The original 500 Cities Project provided city- and census tract-level estimates for the 500 largest US cities. PLACES extends these estimates to all counties, places (incorporated and census designated places), census tracts, and ZIP Code Tabulation Areas (ZCTA) across the United States. This service includes 29 measures for chronic disease related health outcomes (13), prevention measures (9), health risk behaviors (4), and health status (3). Data were provided by CDC Division of Population Health, Epidemiology and Surveillance Branch. Data sources used to generate these measures include BRFSS data (2019 or 2018), Census Bureau 2010 census population data or annual population estimates for county vintage 2019 or 2018, and American Community Survey (ACS) 2015-2019 or 2014-2018 estimates.The health outcomes include arthritis, current asthma, high blood pressure, cancer (excluding skin cancer), high cholesterol, chronic kidney disease, chronic obstructive pulmonary disease (COPD), coronary heart disease, diagnosed diabetes, depression, obesity, all teeth lost, and stroke. The prevention measures include lack of health insurance, visits to doctor for routine checkup, visits to dentist, taking medicine for high blood pressure control, cholesterol screening, mammography use for women, cervical cancer screening for women, colon cancer screening, and core preventive services use for older adults (men and women). The health risk behaviors include binge drinking, current smoking, physical inactivity, and sleeping less than 7 hours. The health status measures include mental health not good for ≥14 days, physical health not good for ≥14 days, and fair or poor health. For more information, please visithttps://www.cdc.gov/placesor contactplaces@cdc.gov.",eng,Centers for Disease Control and Prevention,Esri,Datasets,Location,Chronicdisease|Smallareaestimation|Riskfactor|Healthoutcome|Prevention|CDC|CensusTract|City|Health|PLACES|ZCTA|County,2020-08-31T18:35:16.000Z,Continually updated resource,,United States,"-176.6847,19.0291,-66.9500,71.4573",Vector data,Shapefile,https://gis-for-racialequity.hub.arcgis.com/maps/cdcarcgis::zctas,https://gis-for-racialequity.hub.arcgis.com/datasets/cdcarcgis::zctas.zip,,https://services3.arcgis.com/ZvidGQkLaDJxRSJ2/arcgis/rest/services/PLACES_LocalData_for_BetterHealth/FeatureServer/4,,3b7221d4e47740cab9235b839fa55cd7_4,https://hub.arcgis.com/datasets/item.html?id=3b7221d4e47740cab9235b839fa55cd7_4,Esri GIS For Racial Equity Hub,99-1100,ba5cc745-21c5-4ae9-954b-72dd8db6815a,99-1100,Active,ArcGIS Hub,10/14/22,,Public,FALSE,FALSE,594.0626 MB
Tracts,Tracts,"PLACES (PopulationLevelAnalysis andCommunityEstimates) is an expansion of the original 500 Cities project and is a collaboration between theCenters for Disease Control and Prevention (CDC), theRobert Wood Johnson Foundation (RWJF), and theCDC Foundation (CDCF). The original 500 Cities Project provided city- and census tract-level estimates for the 500 largest US cities. PLACES extends these estimates to all counties, places (incorporated and census designated places), census tracts, and ZIP Code Tabulation Areas (ZCTA) across the United States. This service includes 29 measures for chronic disease related health outcomes (13), prevention measures (9), health risk behaviors (4), and health status (3). Data were provided by CDC Division of Population Health, Epidemiology and Surveillance Branch. Data sources used to generate these measures include BRFSS data (2019 or 2018), Census Bureau 2010 census population data or annual population estimates for county vintage 2019 or 2018, and American Community Survey (ACS) 2015-2019 or 2014-2018 estimates.The health outcomes include arthritis, current asthma, high blood pressure, cancer (excluding skin cancer), high cholesterol, chronic kidney disease, chronic obstructive pulmonary disease (COPD), coronary heart disease, diagnosed diabetes, depression, obesity, all teeth lost, and stroke. The prevention measures include lack of health insurance, visits to doctor for routine checkup, visits to dentist, taking medicine for high blood pressure control, cholesterol screening, mammography use for women, cervical cancer screening for women, colon cancer screening, and core preventive services use for older adults (men and women). The health risk behaviors include binge drinking, current smoking, physical inactivity, and sleeping less than 7 hours. The health status measures include mental health not good for ≥14 days, physical health not good for ≥14 days, and fair or poor health. For more information, please visithttps://www.cdc.gov/placesor contactplaces@cdc.gov.",eng,Centers for Disease Control and Prevention,Esri,Datasets,Location,Chronicdisease|Smallareaestimation|Riskfactor|Healthoutcome|Prevention|CDC|CensusTract|City|Health|PLACES|ZCTA|County,2020-08-31T18:35:16.000Z,Continually updated resource,,United States,"-179.1473,19.0291,-66.9500,71.5062",Vector data,Shapefile,https://gis-for-racialequity.hub.arcgis.com/maps/cdcarcgis::tracts,https://gis-for-racialequity.hub.arcgis.com/datasets/cdcarcgis::tracts.zip,,https://services3.arcgis.com/ZvidGQkLaDJxRSJ2/arcgis/rest/services/PLACES_LocalData_for_BetterHealth/FeatureServer/3,,3b7221d4e47740cab9235b839fa55cd7_3,https://hub.arcgis.com/datasets/item.html?id=3b7221d4e47740cab9235b839fa55cd7_3,Esri GIS For Racial Equity Hub,99-1100,ba5cc745-21c5-4ae9-954b-72dd8db6815a,99-1100,Active,ArcGIS Hub,10/14/22,,Public,FALSE,FALSE,378.4328 MB
Counties,Counties,"PLACES (PopulationLevelAnalysis andCommunityEstimates) is an expansion of the original 500 Cities project and is a collaboration between theCenters for Disease Control and Prevention (CDC), theRobert Wood Johnson Foundation (RWJF), and theCDC Foundation (CDCF). The original 500 Cities Project provided city- and census tract-level estimates for the 500 largest US cities. PLACES extends these estimates to all counties, places (incorporated and census designated places), census tracts, and ZIP Code Tabulation Areas (ZCTA) across the United States. This service includes 29 measures for chronic disease related health outcomes (13), prevention measures (9), health risk behaviors (4), and health status (3). Data were provided by CDC Division of Population Health, Epidemiology and Surveillance Branch. Data sources used to generate these measures include BRFSS data (2019 or 2018), Census Bureau 2010 census population data or annual population estimates for county vintage 2019 or 2018, and American Community Survey (ACS) 2015-2019 or 2014-2018 estimates.The health outcomes include arthritis, current asthma, high blood pressure, cancer (excluding skin cancer), high cholesterol, chronic kidney disease, chronic obstructive pulmonary disease (COPD), coronary heart disease, diagnosed diabetes, depression, obesity, all teeth lost, and stroke. The prevention measures include lack of health insurance, visits to doctor for routine checkup, visits to dentist, taking medicine for high blood pressure control, cholesterol screening, mammography use for women, cervical cancer screening for women, colon cancer screening, and core preventive services use for older adults (men and women). The health risk behaviors include binge drinking, current smoking, physical inactivity, and sleeping less than 7 hours. The health status measures include mental health not good for ≥14 days, physical health not good for ≥14 days, and fair or poor health. For more information, please visithttps://www.cdc.gov/placesor contactplaces@cdc.gov.",eng,Centers for Disease Control and Prevention,Esri,Datasets,Location,Chronicdisease|Smallareaestimation|Riskfactor|Healthoutcome|Prevention|CDC|CensusTract|City|Health|PLACES|ZCTA|County,2020-08-31T18:35:16.000Z,Continually updated resource,,United States,"-179.1473,19.0291,-66.9500,71.5062",Vector data,Shapefile,https://gis-for-racialequity.hub.arcgis.com/maps/cdcarcgis::counties,https://gis-for-racialequity.hub.arcgis.com/datasets/cdcarcgis::counties.zip,,https://services3.arcgis.com/ZvidGQkLaDJxRSJ2/arcgis/rest/services/PLACES_LocalData_for_BetterHealth/FeatureServer/2,,3b7221d4e47740cab9235b839fa55cd7_2,https://hub.arcgis.com/datasets/item.html?id=3b7221d4e47740cab9235b839fa55cd7_2,Esri GIS For Racial Equity Hub,99-1100,ba5cc745-21c5-4ae9-954b-72dd8db6815a,99-1100,Active,ArcGIS Hub,10/14/22,,Public,FALSE,FALSE,101.4965 MB
Place Boundaries,PlaceBoundaries,"PLACES (PopulationLevelAnalysis andCommunityEstimates) is an expansion of the original 500 Cities project and is a collaboration between theCenters for Disease Control and Prevention (CDC), theRobert Wood Johnson Foundation (RWJF), and theCDC Foundation (CDCF). The original 500 Cities Project provided city- and census tract-level estimates for the 500 largest US cities. PLACES extends these estimates to all counties, places (incorporated and census designated places), census tracts, and ZIP Code Tabulation Areas (ZCTA) across the United States. This service includes 29 measures for chronic disease related health outcomes (13), prevention measures (9), health risk behaviors (4), and health status (3). Data were provided by CDC Division of Population Health, Epidemiology and Surveillance Branch. Data sources used to generate these measures include BRFSS data (2019 or 2018), Census Bureau 2010 census population data or annual population estimates for county vintage 2019 or 2018, and American Community Survey (ACS) 2015-2019 or 2014-2018 estimates.The health outcomes include arthritis, current asthma, high blood pressure, cancer (excluding skin cancer), high cholesterol, chronic kidney disease, chronic obstructive pulmonary disease (COPD), coronary heart disease, diagnosed diabetes, depression, obesity, all teeth lost, and stroke. The prevention measures include lack of health insurance, visits to doctor for routine checkup, visits to dentist, taking medicine for high blood pressure control, cholesterol screening, mammography use for women, cervical cancer screening for women, colon cancer screening, and core preventive services use for older adults (men and women). The health risk behaviors include binge drinking, current smoking, physical inactivity, and sleeping less than 7 hours. The health status measures include mental health not good for ≥14 days, physical health not good for ≥14 days, and fair or poor health. For more information, please visithttps://www.cdc.gov/placesor contactplaces@cdc.gov.",eng,Centers for Disease Control and Prevention,Esri,Datasets,Property,Chronicdisease|Smallareaestimation|Riskfactor|Healthoutcome|Prevention|CDC|CensusTract|City|Health|PLACES|ZCTA|County,2020-08-31T18:35:16.000Z,Continually updated resource,,United States,"-176.6967,19.1373,-66.9799,71.4561",Vector data,Shapefile,https://gis-for-racialequity.hub.arcgis.com/maps/cdcarcgis::placeboundaries,https://gis-for-racialequity.hub.arcgis.com/datasets/cdcarcgis::placeboundaries.zip,,https://services3.arcgis.com/ZvidGQkLaDJxRSJ2/arcgis/rest/services/PLACES_LocalData_for_BetterHealth/FeatureServer/1,,3b7221d4e47740cab9235b839fa55cd7_1,https://hub.arcgis.com/datasets/item.html?id=3b7221d4e47740cab9235b839fa55cd7_1,Esri GIS For Racial Equity Hub,99-1100,ba5cc745-21c5-4ae9-954b-72dd8db6815a,99-1100,Active,ArcGIS Hub,10/14/22,,Public,FALSE,FALSE,143.1753 MB
United States of America Native Lands (Mature Support),USA Native Lands (Mature Support),"Important Note: This item is in mature support as of September 2022 and will be retired in December 2024. Anew version of this itemis available for your use. Esri recommends updating your maps and apps to use the new version. This layer was created by extracting American Indian Areas from the Federal Fee Managers layer of the Protected Areas Database of the United States version 2.1.Dataset SummaryPhenomenon Mapped: American Indian AreasCoordinate System:Web Mercator Auxiliary SphereExtent: 48 Contiguous United States, Alaska, and HawaiiVisible Scale: All ScalesSource: Protected Areas Database of the United States version 2.1Publication Date: September 2020What can you do with this layer?This layer can be used throughout the ArcGIS system. Feature layers can be used just like any other vector layer. You can use feature layers as an input to geoprocessing tools in ArcGIS Pro or in Analysis in ArcGIS Online. Combine the layer with others in a map and set custom symbology or create a pop-up tailored for your users. For the details of working with feature layers the help documentation for ArcGIS Pro or the help documentation for ArcGIS Online are great places to start. The ArcGIS Blog is a great source of ideas for things you can do with feature layers. This layer is part of ArcGIS Living Atlas of the World that provides an easy way to find and explore many other beautiful and authoritative layers, maps, and applications on hundreds of topics. ",eng,Esri,Esri,Datasets,Property,hosted|esri_environment|maturesupport|deprecated,2021-02-17T23:20:44.000Z,Continually updated resource,,United States,"-174.2360,18.9107,-67.0355,71.3402",Vector data,Shapefile,https://gis-for-racialequity.hub.arcgis.com/maps/esri::usa-native-lands-mature-support-1,https://gis-for-racialequity.hub.arcgis.com/datasets/esri::usa-native-lands-mature-support-1.zip,,https://services.arcgis.com/P3ePLMYs2RVChkJx/arcgis/rest/services/USA_Native_Lands_View/FeatureServer/0,,9e985822fa6b41f092c172f22d055484_0,https://hub.arcgis.com/datasets/item.html?id=9e985822fa6b41f092c172f22d055484_0,Esri GIS For Racial Equity Hub,99-1100,ba5cc745-21c5-4ae9-954b-72dd8db6815a,99-1100,Active,ArcGIS Hub,10/14/22,,Public,FALSE,FALSE,8.5076 MB
Health System Contextual Measures by Health Unit,Health System Contextual Measures by Health Unit,"Reporting by health unit, this layer includes the following information:percentage of rural area populationpercentage of seniors (65 and older) for 2018percentage of immigrant populationpercentage of aboriginal populationpercentage of children living in low income familiespercentage of households experiencing food insecurity*prevalence of diabetes*prevalence of chronic obstructive pulmonary (COPD) disease*prevalence of high blood pressureprevalence of mood disorders*Data provided by theCanadian Institute for Health Information. Original source data can be foundhere. Complete metadata for this layer can be foundhere. Related datasetContextual Health Measures by Province.* indicates that some of the numbers are estimated and should be used with caution.",eng,Esri Canada - Technology Strategy Group,Esri,Datasets,Health,health|seniors|indigenous|immigrant|rural|diabetes|physicians|foodinsecurity,2021-01-29T20:45:54.000Z,Continually updated resource,,United States,"-141.0063,41.7084,-52.6133,83.1149",Vector data,Shapefile,https://gis-for-racialequity.hub.arcgis.com/maps/esrica-tsg::health-system-contextual-measures-by-health-unit,https://gis-for-racialequity.hub.arcgis.com/datasets/esrica-tsg::health-system-contextual-measures-by-health-unit.zip,,https://services1.arcgis.com/B6yKvIZqzuOr0jBR/arcgis/rest/services/ContextualMeasures/FeatureServer/0,,27dd10c254c24446ae06c0f88458f409_0,https://hub.arcgis.com/datasets/item.html?id=27dd10c254c24446ae06c0f88458f409_0,Esri GIS For Racial Equity Hub,99-1100,ba5cc745-21c5-4ae9-954b-72dd8db6815a,99-1100,Active,ArcGIS Hub,10/14/22,,Public,FALSE,FALSE,5.5177 MB
Hospitals Registered with Medicare,Hospitals Registered with Medicare,"Hospitals Registered with MedicareThis feature layer, utilizing data from the Centers of Medicare and Medicaid Services (CMS), depicts all hospitals that are currently registered with Medicare in the U.S. PerNIH, ""Since the passage of Medicare legislation in 1965, Section 1861 of the Social Security Act has stated that hospitals participating in Medicare must meet certain requirements specified in the act and that the Secretary of the Department of Health, Education and Welfare (HEW) [now the Department of Health and Human Services (DHHS)] may impose additional requirements found necessary to ensure the health and safety of Medicare beneficiaries receiving services in hospitals. On this basis, the Conditions of Participation, a set of regulations setting minimum health and safety standards for hospitals participating in Medicare, were promulgated in 1966 and substantially revised in 1986.""Ascension Columbia St Mary's HospitalData currency: 9/22/2021Data modification: this data was created using the geocoding process on the CSV file.Data downloaded from:Hospital General InformationFor more information:HospitalsFor feedback, please contact:ArcGIScomNationalMaps@esri.comThumbnail image courtesy ofTim EvansonCenters of Medicare and Medicaid ServicesPerUSA.gov, ""The Centers for Medicare and Medicaid Services (CMS) provides health coverage to more than 100 million people through Medicare, Medicaid, the Children's Health Insurance Program, and the Health Insurance Marketplace. The CMS seeks to strengthen and modernize the Nation's health care system, to provide access to high quality care and improved health at lower costs.""",eng,Esri U.S. Federal Datasets,Esri,Datasets,Health,Federal|federal|CMS|CenterforMedicareandMedicaidServices|Hospitals|Medicare|health|safety|HHS|USHHS|DepartmentofHealthandHumanServices|U.S.DepartmentofHealthandHumanServices|MedicareHospitals|SocialSecurityAct|healthcare,2020-06-30T14:23:34.000Z,Continually updated resource,,United States,"-159.6706,13.4850,144.8240,71.2990",Vector data,Shapefile,https://gis-for-racialequity.hub.arcgis.com/maps/fedmaps::hospitals-registered-with-medicare,https://gis-for-racialequity.hub.arcgis.com/datasets/fedmaps::hospitals-registered-with-medicare.zip,,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/Medicare_Hospitals/FeatureServer/0,,4ae399a6db4944998812765397e72c5e_0,https://hub.arcgis.com/datasets/item.html?id=4ae399a6db4944998812765397e72c5e_0,Esri GIS For Racial Equity Hub,99-1100,ba5cc745-21c5-4ae9-954b-72dd8db6815a,99-1100,Active,ArcGIS Hub,10/14/22,,Public,FALSE,FALSE,0.5781 MB
Healthcare Facilities of the Indian Health Service,Healthcare Facilities of the Indian Health Service,"Healthcare Facilities of the Indian Health ServiceThis Indian Health Service (IHS) feature layer displays health facilities within the U.S.The IHS is an agency within the Department of Health and Human Services. PerIHS, ""Federal law says that IHS has to report to Congress each year on the quality of health care it provides to its patients."" It is responsible for providing federal health services to American Indians and Alaska Natives. These services include hospitals, behavioral health facilities, health centers, dental clinics, health stations, Alaska Village Clinics and other services.The provision of health services to members of federally-recognized Tribes grew out of the special government-to-government relationship between the federal government and Indian Tribes. The IHS is the principal federal health care provider and health advocate for Indian people, and its goal is to raise their health status to the highest possible level. The IHS provides a comprehensive health service delivery system for American Indians and Alaska Natives who are members of 566 federally recognized Tribes across the U.S.Immokalee Health CenterData currency:Current federal serviceFor more information:Health Care;Find Health Care;Mapping and VisualizationFor feedback please contact:ArcGIScomNationalMaps@esri.comThumbnail image courtesy ofBen LazoIndian Health ServicePerIHS, ""(IHS)…is responsible for providing federal health services to American Indians and Alaska Natives. The provision of health services to members of federally-recognized tribes grew out of the special government-to-government relationship between the federal government and Indian tribes.""",eng,Esri U.S. Federal Datasets,Esri,Datasets,Health,IndianHealthService|IHS|U.S.DepartmentofHealthandHumanServices|USHHS|HealthandHumanServices|healthservice|AmericanIndians|AlaskaNatives|healthfacilities|HHS|NativeAmericans|healthcare|health|hospitals|behavioralhealthfacilities|healthcenters|dentalclinics|healthstations|tribe|tribal|tribes|AlaskaVillageClinics|population|demographics|Federal,2020-08-06T18:07:58.000Z,Continually updated resource,,United States,"-176.6396,25.7627,-67.0423,71.2926",Vector data,Shapefile,https://gis-for-racialequity.hub.arcgis.com/maps/fedmaps::healthcare-facilities-of-the-indian-health-service-1,https://gis-for-racialequity.hub.arcgis.com/datasets/fedmaps::healthcare-facilities-of-the-indian-health-service-1.zip,https://maps.ihs.gov/server/rest/services/OPHS/ihs_health_facilities/MapServer/0,,,f54bca11a622446c9472e962fdaf2bea_0,https://hub.arcgis.com/datasets/item.html?id=f54bca11a622446c9472e962fdaf2bea_0,Esri GIS For Racial Equity Hub,99-1100,ba5cc745-21c5-4ae9-954b-72dd8db6815a,99-1100,Active,ArcGIS Hub,10/14/22,,Public,FALSE,FALSE,0.1653 MB
U.S. Urban Heat Island Mapping Campaign,U.S. Urban Heat Island Mapping Campaign,"Cities in the U.S. are getting hotter, and that is causing significant health risks, especially to minorities, the elderly, and impoverished. There is significant spatial variation in temperature across a city due to changes in the landscape (elevation, tree cover, development, etc).NOAA has been engaged in anationwide effortwith CAPA Strategies to use a combination of Sentinel-2 satellite data along with temperature readings recorded from car- and bike-mounted sensors to generate detailed maps of the urban areas most impacted by heat. These measurements have been combined into single raster layers for morning, afternoon, and evening temperatures. As of 2020, 27 cities (26 in the U.S) have been mapped; a total of 50 cities will be mapped by the end of 2021.This layer shows the census tract (neighborhood) averages for those temperatures, along with additional information calculated for each neighborhood including:Temperature anomaly (neighborhood temperature compared to the citywide average)Impervious surfaceTree coverDemographicsTotal populationPopulation <5Population >65MinorityMedian incomePovertyCombining these different types of information can help planners identify areas at risk and help to develop mitigation and resilience plans to improve urban living conditions.More information about the campaign can be found inthis Story Mapby NOAA.",eng,Esri,Esri,Datasets,Climate,urbanization|demographics|climate|temperature|treecover|impervioussurface|NOAA|poverty|atrisk|minority,2021-07-15T20:15:36.000Z,Continually updated resource,,United States,"-158.2209,18.2965,-65.9679,47.7779",Vector data,Shapefile,https://gis-for-racialequity.hub.arcgis.com/maps/esri::u-s-urban-heat-island-mapping-campaign,https://gis-for-racialequity.hub.arcgis.com/datasets/esri::u-s-urban-heat-island-mapping-campaign.zip,,https://services.arcgis.com/P3ePLMYs2RVChkJx/arcgis/rest/services/UrbanHeatIslands_v3/FeatureServer/0,,777502ece2b343f7b3ec54170f0d972e_0,https://hub.arcgis.com/datasets/item.html?id=777502ece2b343f7b3ec54170f0d972e_0,Esri GIS For Racial Equity Hub,99-1100,ba5cc745-21c5-4ae9-954b-72dd8db6815a,99-1100,Active,ArcGIS Hub,10/14/22,,Public,FALSE,FALSE,7.4231 MB
