identifier,code,title,alternativeTitle,description,genre,subject,format,type,geometryType,dateIssued,temporalCoverage,Date,spatialCoverage,spatial,provenance,publisher,creator,landingPage,downloadURL,webService,metadataURL,serverType,keywords
3b2g-uk3u,04b-24027,Recreation & Parks Program Totals: Winter 2019,,"Data encompasses the number of participants enrolled in Howard County Recreation & Parks programs (I.e. Sports, Fitness, Nature & Environment, Camps etc...), by season.",,,,,,2019-06-14,,,"Howard County, Maryland, United States|Maryland, United States",Maryland,"Howard County, Maryland",opendata.howardcountymd.gov,https://opendata.howardcountymd.gov/d/3b2g-uk3u,,,,
8wi7-b2em,04b-24027,ACH VENDOR PAYMENTS FOR 03-13-2020,,ACH VENDOR PAYMENTS FOR 03-13-2020,,,,,,2020-03-12,,,"Howard County, Maryland, United States|Maryland, United States",Maryland,"Howard County, Maryland",opendata.howardcountymd.gov,https://opendata.howardcountymd.gov/d/8wi7-b2em,,,,
nyzi-yk8a,04b-24027,ACH Vendor Payments for 07-19-2019,,ACH Vendor Payments for 07-19-2019,,,,,,2019-07-18,,,"Howard County, Maryland, United States|Maryland, United States",Maryland,"Howard County, Maryland",opendata.howardcountymd.gov,https://opendata.howardcountymd.gov/d/nyzi-yk8a,,,,
7k9i-wy4s,04b-24027,ACH VENDOR PAYMENTS FOR 11-22-19,,ACH VENDOR PAYMENTS FOR 11-22-19,,,,,,2019-11-21,,,"Howard County, Maryland, United States|Maryland, United States",Maryland,"Howard County, Maryland",opendata.howardcountymd.gov,https://opendata.howardcountymd.gov/d/7k9i-wy4s,,,,
7nx9-cfxu,04b-24027,ACH VENDOR PAYMENTS FOR 02-07-2020,,ACH VENDOR PAYMENTS FOR 02-07-2020,,,,,,2020-02-06,,,"Howard County, Maryland, United States|Maryland, United States",Maryland,"Howard County, Maryland",opendata.howardcountymd.gov,https://opendata.howardcountymd.gov/d/7nx9-cfxu,,,,
2uty-pskw,04b-24027,ACH VENDOR PAYMENTS FOR 12-06-19,,ACH VENDOR PAYMENTS FOR 12-06-19,,,,,,2019-12-05,,,"Howard County, Maryland, United States|Maryland, United States",Maryland,"Howard County, Maryland",opendata.howardcountymd.gov,https://opendata.howardcountymd.gov/d/2uty-pskw,,,,
vmd5-pymr,04b-24027,ACH VENDOR PAYMENTS FOR 01-17-2020,,ACH VENDOR PAYMENTS FOR 01-17-2020,,,,,,2020-01-16,,,"Howard County, Maryland, United States|Maryland, United States",Maryland,"Howard County, Maryland",opendata.howardcountymd.gov,https://opendata.howardcountymd.gov/d/vmd5-pymr,,,,
6hkk-xbcn,04b-24027,ACH VENDOR PAYMENTS FOR 03-20-2020,,ACH VENDOR PAYMENTS FOR 03-20-2020,,,,,,2020-03-19,,,"Howard County, Maryland, United States|Maryland, United States",Maryland,"Howard County, Maryland",opendata.howardcountymd.gov,https://opendata.howardcountymd.gov/d/6hkk-xbcn,,,,
ifus-5cmz,04b-24027,ACH VENDOR PAYMENTS FOR 12-20-19,,ACH VENDOR PAYMENTS FOR 12-20-19,,,,,,2019-12-23,,,"Howard County, Maryland, United States|Maryland, United States",Maryland,"Howard County, Maryland",opendata.howardcountymd.gov,https://opendata.howardcountymd.gov/d/ifus-5cmz,,,,
ikeu-n7bz,04b-24027,ACH VENDOR PAYMENTS FOR 04-03-2020,,ACH VENDOR PAYMENTS FOR 04-03-2020,,,,,,2020-04-02,,,"Howard County, Maryland, United States|Maryland, United States",Maryland,"Howard County, Maryland",opendata.howardcountymd.gov,https://opendata.howardcountymd.gov/d/ikeu-n7bz,,,,
