url,Title,JPEG,PDF,Rights,DOI
https://rucore.libraries.rutgers.edu/rutgers-lib/28634,"1930 Real Estate Plat-Book of the City of Trenton and Borough of Princeton, Mercer County, New Jersey (Plate 37 of 48, Trenton)",https://rucore.libraries.rutgers.edu/rutgers-lib/28634/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/28634/PDF/1/play/,"This resource may be copyright protected. You may make use of this resource, with proper attribution, for educational and other non-commercial uses only. Contact the contributing organization to obtain permission for reproduction, publication, and commercial use.",https://doi.org/doi:10.7282/T3Z60P1K
https://rucore.libraries.rutgers.edu/rutgers-lib/20228,Rutgers University and routes to stadium,https://rucore.libraries.rutgers.edu/rutgers-lib/20228/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/20228/PDF/1/play/,"The copyright law of the United States (Title 17, U.S. Code) governs use of this work. You may make use of this resource, with proper attribution, in accordance with U.S. copyright law.",https://doi.org/doi:10.7282/T30V8DB6
https://rucore.libraries.rutgers.edu/rutgers-lib/17712,Rutgers University Medical School,https://rucore.libraries.rutgers.edu/rutgers-lib/17712/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/17712/PDF/1/play/,"The copyright law of the United States (Title 17, U.S. Code) governs use of this work. You may make use of this resource, with proper attribution, in accordance with U.S. copyright law.",https://doi.org/doi:10.7282/T3BC40CF
https://rucore.libraries.rutgers.edu/rutgers-lib/20206,Rutgers College Avenue Campus,https://rucore.libraries.rutgers.edu/rutgers-lib/20206/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/20206/PDF/1/play/,"The copyright law of the United States (Title 17, U.S. Code) governs use of this work. You may make use of this resource, with proper attribution, in accordance with U.S. copyright law.",https://doi.org/doi:10.7282/T32R3S6N
https://rucore.libraries.rutgers.edu/rutgers-lib/20378,Small map of Rutgers University College Avenue Campus from Rutgers Alumni Monthly,https://rucore.libraries.rutgers.edu/rutgers-lib/20378/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/20378/PDF/1/play/,"This object has been provided by Rutgers University Libraries Special Collections after a copyright, permissions, and usage rights evaluation.  You may make use of the information under a Creative Commons Attribution-NonCommercial 2.5 license (see creativecommons.org/licenses/by-nc/2.5/). If undeclared, you may need to contact the rights holder for permission for further use.",https://doi.org/doi:10.7282/T3PN9650
https://rucore.libraries.rutgers.edu/rutgers-lib/20376,"Rutgers College, College Avenue Campus",https://rucore.libraries.rutgers.edu/rutgers-lib/20376/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/20376/PDF/1/play/,"This resource may be copyright protected. You may make use of this resource, with proper attribution, for educational and other non-commercial uses only. Contact the contributing organization to obtain permission for reproduction, publication, and commercial use.",https://doi.org/doi:10.7282/T39C6XZP
https://rucore.libraries.rutgers.edu/rutgers-lib/20380,Stylized picture map of Rutgers University,https://rucore.libraries.rutgers.edu/rutgers-lib/20380/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/20380/PDF/1/play/,"This resource may be copyright protected. You may make use of this resource, with proper attribution, for educational and other non-commercial uses only. Contact the contributing organization to obtain permission for reproduction, publication, and commercial use.",https://doi.org/doi:10.7282/T3F47PPD
https://rucore.libraries.rutgers.edu/rutgers-lib/20218,Rutgers College Avenue Campus 1973,https://rucore.libraries.rutgers.edu/rutgers-lib/20218/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/20218/PDF/1/play/,"This object has been provided by Rutgers University Libraries Special Collections after a copyright, permissions, and usage rights evaluation.  You may make use of the information under a Creative Commons Attribution-NonCommercial 2.5 license (see creativecommons.org/licenses/by-nc/2.5/). If undeclared, you may need to contact the rights holder for permission for further use.",https://doi.org/doi:10.7282/T3KP82P3
https://rucore.libraries.rutgers.edu/rutgers-lib/20215,"Rutgers College, New Jersey 1939",https://rucore.libraries.rutgers.edu/rutgers-lib/20215/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/20215/PDF/1/play/,"This object has been provided by Rutgers University Libraries Special Collections after a copyright, permissions, and usage rights evaluation.  You may make use of the information under a Creative Commons Attribution-NonCommercial 2.5 license (see creativecommons.org/licenses/by-nc/2.5/). If undeclared, you may need to contact the rights holder for permission for further use.",https://doi.org/doi:10.7282/T3T72J0B
https://rucore.libraries.rutgers.edu/rutgers-lib/20211,"Rutgers College, New Jersey 1892",https://rucore.libraries.rutgers.edu/rutgers-lib/20211/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/20211/PDF/1/play/,"This object has been provided by Rutgers University Libraries Special Collections after a copyright, permissions, and usage rights evaluation.  You may make use of the information under a Creative Commons Attribution-NonCommercial 2.5 license (see creativecommons.org/licenses/by-nc/2.5/). If undeclared, you may need to contact the rights holder for permission for further use.",https://doi.org/doi:10.7282/T3959J30
