STATEABBR,PRINMERCD,PRINMER,Township,TWNSHPFRAC,Township Direction,Range,RANGEFRAC,Range Direction,TWNSHPDPCD,PLSSID,TWNSHPLAB,Bounding Box
MI,19,Michigan Meridian,16,0,N,1,0,E,0,MI190160N0010E0,16N 1E,"-84.36785528, 43.74188882, -84.28814975, 43.82850403"
MI,19,Michigan Meridian,50,0,N,43,0,W,0,MI190500N0430W0,50N 43W,"-89.73915194, 46.6790129, -89.61352079, 46.76513169"
MI,19,Michigan Meridian,21,0,N,3,0,E,0,MI190210N0030E0,21N 3E,"-84.1256462, 44.16182309, -84.00474465, 44.24836148"
MI,19,Michigan Meridian,14,0,N,4,0,E,0,MI190140N0040E0,14N 4E,"-84.05002287, 43.56602402, -83.93058713, 43.65335813"
MI,19,Michigan Meridian,21,0,N,2,0,W,0,MI190210N0020W0,21N 2W,"-84.61054274, 44.16049008, -84.48856434, 44.24763012"
MI,19,Michigan Meridian,66,0,N,34,0,W,0,MI190660N0340W0,66N 34W,"-88.67708191, 48.06334092, -88.54721244, 48.15118306"
MI,19,Michigan Meridian,50,0,N,9,0,W,0,MI190500N0090W0,50N 9W,"-85.48438748, 46.6799225, -85.36336435, 46.7174584"
MI,19,Michigan Meridian,4,0,S,8,0,W,0,MI190040S0080W0,4S 8W,"-85.29536011, 42.07163157, -85.17671387, 42.15946703"
MI,19,Michigan Meridian,37,0,N,5,0,W,0,MI190370N0050W0,37N 5W,"-84.97560444, 45.55080121, -84.85264375, 45.63691491"
MI,19,Michigan Meridian,5,0,N,1,0,W,0,MI190050N0010W0,5N 1W,"-84.48388404, 42.76947863, -84.36363285, 42.85704645"
MI,19,Michigan Meridian,13,0,N,13,0,W,0,MI190130N0130W0,13N 13W,"-85.92015884, 43.46666336, -85.8008113, 43.55378931"
MI,19,Michigan Meridian,7,0,N,10,0,E,0,MI190070N0100E0,7N 10E,"-83.34290711, 42.97045498, -83.22159013, 43.06080412"
MI,19,Michigan Meridian,36,0,N,24,0,W,0,MI190360N0240W0,36N 24W,"-87.3277158, 45.46436236, -87.26055198, 45.55124171"
MI,19,Michigan Meridian,34,0,N,8,0,W,0,MI190340N0080W0,34N 8W,"-85.34253771, 45.29289099, -85.21911325, 45.36166249"
MI,19,Michigan Meridian,2,0,N,4,0,E,0,MI190020N0040E0,2N 4E,"-84.03138428, 42.50982808, -83.91084865, 42.60027398"
MI,19,Michigan Meridian,40,0,N,23,0,W,0,MI190400N0230W0,40N 23W,"-87.20266575, 45.81136301, -87.07901991, 45.89832727"
MI,19,Michigan Meridian,2,0,S,12,0,W,0,MI190020S0120W0,2S 12W,"-85.76616286, 42.24469343, -85.64809961, 42.33286553"
MI,19,Michigan Meridian,49,0,N,36,0,W,0,MI190490N0360W0,49N 36W,"-88.86580951, 46.5926684, -88.74031726, 46.67927186"
MI,19,Michigan Meridian,9,0,N,16,0,W,0,MI190090N0160W0,9N 16W,"-86.26488697, 43.11739037, -86.14491052, 43.20532905"
MI,19,Michigan Meridian,31,0,N,4,0,E,0,MI190310N0040E0,31N 4E,"-84.00191865, 45.02990829, -83.88022842, 45.11599913"
MI,19,Michigan Meridian,9,0,N,16,0,E,0,MI190090N0160E0,9N 16E,"-82.64844714, 43.16405798, -82.52492023, 43.25401364"
MI,19,Michigan Meridian,34,0,N,3,0,E,0,MI190340N0030E0,34N 3E,"-84.13206153, 45.28241566, -84.00890249, 45.36748595"
MI,19,Michigan Meridian,19,0,N,12,0,W,0,MI190190N0120W0,19N 12W,"-85.80277106, 43.98758134, -85.68199898, 44.07498307"
MI,19,Michigan Meridian,4,0,S,10,0,E,0,MI190040S0100E0,4S 10E,"-83.30609018, 42.09402398, -83.18631239, 42.18483309"
MI,19,Michigan Meridian,3,0,S,8,0,W,0,MI190030S0080W0,3S 8W,"-85.29712332, 42.15828545, -85.17803013, 42.24658463"
MI,19,Michigan Meridian,6,0,N,8,0,W,0,MI190060N0080W0,6N 8W,"-85.31181871, 42.8569489, -85.1933763, 42.94401354"
MI,19,Michigan Meridian,25,0,N,3,0,W,0,MI190250N0030W0,25N 3W,"-84.73103787, 44.51119866, -84.6088017, 44.5989728"
MI,19,Michigan Meridian,16,0,N,13,0,W,0,MI190160N0130W0,16N 13W,"-85.91965606, 43.72699268, -85.79970717, 43.81463221"
MI,19,Michigan Meridian,5,0,N,4,0,E,0,MI190050N0040E0,5N 4E,"-84.04341038, 42.77845088, -83.9224728, 42.86827241"
MI,19,Michigan Meridian,44,0,N,30,0,W,0,MI190440N0300W0,44N 30W,"-88.11764189, 46.15974159, -87.99197852, 46.2466929"
MI,19,Michigan Meridian,6,0,S,3,0,E,0,MI190060S0030E0,6S 3E,"-84.13095072, 41.89802819, -84.00419237, 41.98548062"
MI,19,Michigan Meridian,14,0,N,6,0,W,0,MI190140N0060W0,14N 6W,"-85.08640816, 43.55241879, -84.96645424, 43.63965695"
MI,19,Michigan Meridian,18,0,N,3,0,W,0,MI190180N0030W0,18N 3W,"-84.7277471, 43.90178487, -84.60634624, 43.98882959"
MI,19,Michigan Meridian,22,0,N,6,0,E,0,MI190220N0060E0,22N 6E,"-83.76406793, 44.24868754, -83.64336079, 44.33717998"
MI,19,Michigan Meridian,48,0,N,2,0,E,0,MI190480N0020E0,48N 2E,"-84.23781943, 46.50597029, -84.11284983, 46.54243904"
MI,19,Michigan Meridian,47,0,N,18,0,W,0,MI190470N0180W0,47N 18W,"-86.61514761, 46.41943349, -86.49005564, 46.5063748"
MI,19,Michigan Meridian,1,0,S,2,0,E,0,MI190010S0020E0,1S 2E,"-84.25052665, 42.33534703, -84.131131, 42.42486732"
MI,19,Michigan Meridian,51,0,N,6,0,W,0,MI190510N0060W0,51N 6W,"-85.028162, 46.76698014, -84.98637962, 46.78174282"
MI,19,Michigan Meridian,10,0,N,10,0,E,0,MI190100N0100E0,10N 10E,"-83.35447149, 43.23515433, -83.23514291, 43.32449008"
MI,19,Michigan Meridian,3,0,S,11,0,E,0,MI190030S0110E0,3S 11E,"-83.19358578, 42.18483309, -83.1409531, 42.27207472"
MI,19,Michigan Meridian,9,0,N,4,0,E,0,MI190090N0040E0,9N 4E,"-84.05084982, 43.13171442, -83.9289943, 43.2203435"
MI,19,Michigan Meridian,27,0,N,13,0,W,0,MI190270N0130W0,27N 13W,"-85.93787716, 44.68875184, -85.81511653, 44.77841601"
MI,19,Michigan Meridian,36,0,N,2,0,E,0,MI190360N0020E0,36N 2E,"-84.25020562, 45.45075481, -84.12468087, 45.53918594"
MI,19,Michigan Meridian,3,0,N,10,0,E,0,MI190030N0100E0,3N 10E,"-83.32882165, 42.61831141, -83.20913598, 42.7096249"
MI,19,Michigan Meridian,15,0,N,18,0,W,0,MI190150N0180W0,15N 18W,"-86.51830073, 43.64583275, -86.3979444, 43.73344599"
MI,19,Michigan Meridian,50,0,N,5,0,W,0,MI190500N0050W0,50N 5W,"-84.98684931, 46.73863049, -84.94466127, 46.76718609"
MI,19,Michigan Meridian,9,0,S,1,0,E,0,MI190090S0010E0,9S 1E,"-84.3605018, 41.70658481, -84.23077398, 41.72439753"
MI,19,Michigan Meridian,13,0,N,4,0,E,0,MI190130N0040E0,13N 4E,"-84.05188445, 43.47955113, -83.93375711, 43.56732"
MI,19,Michigan Meridian,23,0,N,6,0,E,0,MI190230N0060E0,23N 6E,"-83.76470532, 44.33450438, -83.64473971, 44.42473687"
MI,19,Michigan Meridian,49,0,N,48,0,W,0,MI190490N0480W0,49N 48W,"-90.36234755, 46.59329097, -90.23837785, 46.62426911"
MI,19,Michigan Meridian,4,0,N,11,0,W,0,MI190040N0110W0,4N 11W,"-85.66329742, 42.68108904, -85.54510193, 42.76826432"
MI,19,Michigan Meridian,5,0,S,9,0,W,0,MI190050S0090W0,5S 9W,"-85.41109706, 41.9846192, -85.29292424, 42.07163157"
MI,19,Michigan Meridian,15,0,N,8,0,E,0,MI190150N0080E0,15N 8E,"-83.58534342, 43.65284659, -83.46632218, 43.73288515"
MI,19,Michigan Meridian,19,0,N,10,0,W,0,MI190190N0100W0,19N 10W,"-85.56354913, 43.98786013, -85.44384392, 44.074397"
MI,19,Michigan Meridian,20,0,N,17,0,W,0,MI190200N0170W0,20N 17W,"-86.4012524, 44.0792747, -86.27940666, 44.1790565"
MI,19,Michigan Meridian,14,0,N,17,0,W,0,MI190140N0170W0,14N 17W,"-86.39804029, 43.55649081, -86.27790451, 43.6459729"
MI,19,Michigan Meridian,6,0,N,4,0,W,0,MI190060N0040W0,6N 4W,"-84.83760452, 42.85702792, -84.71988725, 42.94382146"
MI,19,Michigan Meridian,42,0,N,4,0,W,0,MI190420N0040W0,42N 4W,"-84.86262014, 45.9839194, -84.73750128, 46.07143499"
MI,19,Michigan Meridian,3,0,S,6,0,W,0,MI190030S0060W0,3S 6W,"-85.06116558, 42.15951564, -84.94276292, 42.2470833"
MI,19,Michigan Meridian,40,0,N,16,0,W,0,MI190400N0160W0,40N 16W,"-86.33538797, 45.84147595, -86.3208783, 45.89603286"
MI,19,Michigan Meridian,2,0,S,4,0,W,0,MI190020S0040W0,2S 4W,"-84.82878459, 42.24682892, -84.71694389, 42.33453529"
MI,19,Michigan Meridian,41,0,N,25,0,W,0,MI190410N0250W0,41N 25W,"-87.49284801, 45.89878144, -87.36766172, 45.9856604"
MI,19,Michigan Meridian,44,0,N,16,0,W,0,MI190440N0160W0,44N 16W,"-86.36522226, 46.15813379, -86.24043306, 46.24483884"
MI,19,Michigan Meridian,17,0,N,2,0,E,0,MI190170N0020E0,17N 2E,"-84.28819046, 43.82587546, -84.16589782, 43.91297976"
MI,19,Michigan Meridian,44,0,N,3,0,E,0,MI190440N0030E0,44N 3E,"-84.11399692, 46.15955112, -84.1032654, 46.24503072"
MI,19,Michigan Meridian,11,0,N,6,0,W,0,MI190110N0060W0,11N 6W,"-85.08484544, 43.29246414, -84.96480555, 43.37922496"
MI,19,Michigan Meridian,47,0,N,17,0,W,0,MI190470N0170W0,47N 17W,"-86.49016397, 46.41919023, -86.36486254, 46.5063748"
